year,position,driver_1,driver_2,constructor
1969,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 5th October,Hardie-Ferodo 500 Mount Panorama Bathurst 5th October 1969
1969,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 5th October,Number of Laps: 130 Total Race Time: 6:32:0.0 Fastest lap: Moffat/Hamilton and Gibson/Seton 2:52.1 (129.11 km/h) Classes: Class A - Up to $1800; Class B - $1801 to $2100; Class C - $2101 to $3000; Class D - $3001 to $4500; Class E - Over $4500
1970,1,Allan Moffat,,Falcon XW GTHO
1970,2,Bruce McPhee,,Falcon XW GTHO
1970,3,Don Holland,,Torana LC XU1
1970,4,Doug Chivas,Graham Ryan,Valiant Pacer 2BL
1970,5,Leo Geoghegan,Nick Ledingham,Valiant Pacer 2BL
1970,6,George Garth,John Hall,Torana LC XU1
1970,7,Des West,Peter Brown,Valiant Pacer 4BL
1970,8,Brian Reed,Bob Watson,Torana LC XU1
1970,9,John Goss,Bob Skelton,Falcon XW GTHO
1970,10,Warren Gracie,Ron Gillard,Torana LC XU1
1970,11,Spencer Martin,Bob Martin,Torana LC XU1
1970,12,Hans Tholstrup,Bill Ford,Falcon XW GTHO
1970,13,Christine Cole,Sandra Bennett,Torana LC XU1
1970,14,Bob Holden,,Falcon XW GTHO
1970,15,Alan Cant,Bob Cook,Valiant Pacer 4BL
1970,16,Colin Bond,,Torana LC XU1
1970,17,Bob Drane,,Escort TC
1970,18,Trevor Meehan,Peter Wherrett,Falcon XW GTHO
1970,19,Don Smith,,Datsun 1600
1970,20,Doug Whiteford,,Datsun 1600
1970,21,Chris Cronan,Mark Cortese,Torana LC XU1
1970,22,Jack Magic,David O'Keefe,BMW 2800
1970,23,Ron Kearns,Gerry Lister,Fiat 125S
1970,24,Barry Tapsall,Jon Leighton,Datsun 1200
1970,25,Bernie Haehnle,Neil Revell,Mazda 1300
1970,26,John Leffler,Gary Hodge,Mazda 1300
1970,27,Brian Sampson,Dick Thurston,Toyota Corolla
1970,28,James Laing-Peach,Barry Ferguson,Mazda 1300
1970,29,Geoff Westbury,Ray Marquet,Cortina 1600
1970,30,Max Stewart,Dick Young,Toyota Corolla
1970,31,Lyndon McLeod,Brian Culcheth,Triumph 2.5 PI
1970,32,Ray Morris,,Mazda 1300
1970,33,Trevor Mason,,Mazda 1300
1970,34,Digby Cooke,David Seldon,Torana LC XU1
1970,35,Carl Kennedy,Bill Slattery,Datsun 1200
1970,36,Arthur Olsen,Lynne Keefe,Morris Cooper S
1970,37,Peter Brock,Bob Morris,Torana LC XU1
1970,38,Bill Stanley,Mike Kable,Toyota Corolla
1970,39,Bob Forbes,Peter Finlay,Fiat 128
1970,40,Ross Hewison,Brian Hones,Escort TC
1970,41,Harry Gapps,Frank Hann,Escort 1300
1970,42,Carole Corness,Gloria Taylor,Escort 1300
1970,43,Joe Butta,Bob Genders,Pacer 4Bl
1970,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 4th October,Hardie-Ferodo 500 Mount Panorama Bathurst 4th October 1970 Number of Laps: 130 Total Race Time: 6:33:0.0 Fastest lap: Moffat/Hamilton and Gibson/Seton 2:52.1 (129.11 km/h) Classes: Class A - Up to $1960; Class B - $1961 to $2400; Class C - $2401 to $3150; Class D - $3151 to $4100; Class E - Over $4100 1970 Hardie-Ferodo 500 Program Following previous racing events around the country and most particularly at the Sandown 250 Ford were discovering much to their chargrin that the new Cleveland engines were not proving to be as reliable as they should have been. Ford went into the 1970 race with 14 Falcon's and an air of uncertainty about their engines their brakes and the potential of the opposition particularly the Torana’s which had done very well at Sandown Park. Then there were the new Chrysler Pacer's an unknown at the race track and featuring a sweet 4 liter 245ci straight six with a four-barrel carburetor. The Pacer was developed under the guidance of Leo Geoghegan and although slightly larger in size than the Falcon’s it was like the Torana lighter. In practice Allan Moffat won pole position with a 2 min. 49 sec. lap and the other works-entered Falcons filled positions two and three on the grid. But practice did not increase Ford's confidence as the Torana’s had run all day with problem whereas the Falcons had suffered a lot of engine troubles and overnight rebuilds were the order of the day for quite a number of them. The first lap of the race gave heart to the Holden supporters as Colin Bond who had already worked up from fourth on the grid dived under Allan Moffat under brakes to take the lead in his Torana XU1. It didn't take Moffat long to re-pass Bond however and the Canadian stayed in the No. 1 spot for the remainder of the race. Behind him however a lot of Falcons were in trouble. The works car of Fred Gibson and Barry Seton had its differential seize and Bruce Hodgson Gary Rush David McKay Kyrn Aunger and Bob Beasley all suffered engine failures. Bruce McPhee also in a works car came in second on the same lap as Moffat but the next Falcon home was the car of John Goss and Bob Skelton who had driven a good race to come in seventh theirs being the first non-works Falcon to complete the distance. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Allan Moffat Falcon XW GTHO E 130 0:2:49.3 2 Bruce McPhee Falcon XW GTHO E 130 0:2:50.0 3 Don Holland Torana LC XU1 C 129 0:2:54.3 4 Doug Chivas / Graham Ryan Valiant Pacer 2BL C 129 0:3:00.2 5 Leo Geoghegan / Nick Ledingham Valiant Pacer 2BL C 128 0:2:59.8 6 George Garth / John Hall Torana LC XU1 C 128 0:2:58.1 7 Des West / Peter Brown Valiant Pacer 4BL D 127 0:2:56.0 8 Brian Reed / Bob Watson Torana LC XU1 C 127 0:2:57.3 9 John Goss / Bob Skelton Falcon XW GTHO E 127 0:3:09.3 10 Warren Gracie / Ron Gillard Torana LC XU1 C 126 0:3:02.0 11 Spencer Martin / Bob Martin Torana LC XU1 C 125 0:2:58.2 12 Hans Tholstrup / Bill Ford Falcon XW GTHO E 125 0:2:59.1 13 Christine Cole / Sandra Bennett Torana LC XU1 C 123 0:3:00.2 14 Bob Holden Falcon XW GTHO E 123 0:3:00.3 15 Alan Cant / Bob Cook Valiant Pacer 4BL D 121 0:3:02.5 16 Colin Bond Torana LC XU1 C 119 0:2:54.0 17 Bob Drane Escort TC C 119 0:3:10.2 18 Trevor Meehan / Peter Wherrett Falcon XW GTHO E 118 0:2:58.2 19 Don Smith Datsun 1600 B 117 0:3:18.4 20 Doug Whiteford Datsun 1600 B 117 0:3:19.4 21 Chris Cronan / Mark Cortese Torana LC XU1 C 117 0:3:01.4 22 Jack Magic / David O'Keefe BMW 2800 E 117 0:3:10.2 23 Ron Kearns / Gerry Lister Fiat 125S D 116 0:3:20.1 24 Barry Tapsall / Jon Leighton Datsun 1200 A 114 0:3:25.0 25 Bernie Haehnle / Neil Revell Mazda 1300 A 114 0:3:25.9 26 John Leffler / Gary Hodge Mazda 1300 A 113 0:3:25.2 27 Brian Sampson / Dick Thurston Toyota Corolla A 113 0:3:27.2 28 James Laing-Peach / Barry Ferguson Mazda 1300 A 112 0:3:27.9 29 Geoff Westbury / Ray Marquet Cortina 1600 B 112 0:3:28.2 30 Max Stewart / Dick Young Toyota Corolla A 112 0:3:28.0 31 Lyndon McLeod / Brian Culcheth Triumph 2.5 PI D 111 0:3:15.5 32 Ray Morris Mazda 1300 A 111 0:3:28.7 33 Trevor Mason Mazda 1300 A 111 0:3:30.4 34 Digby Cooke / David Seldon Torana LC XU1 C 108 0:2:56.2 35 Carl Kennedy / Bill Slattery Datsun 1200 A 108 0:3:32.3 36 Arthur Olsen / Lynne Keefe Morris Cooper S C 107 0:3:33.0 37 Peter Brock / Bob Morris Torana LC XU1 C 107 0:2:54.8 38 Bill Stanley / Mike Kable Toyota Corolla A 106 0:3:28.1 39 Bob Forbes / Peter Finlay Fiat 128 B 106 0:3:36.3 40 Ross Hewison / Brian Hones Escort TC C 105 0:3:10.1 41 Harry Gapps / Frank Hann Escort 1300 A 103 0:3:42.8 42 Carole Corness / Gloria Taylor Escort 1300 A 103 0:3:49.0 43 Joe Butta / Bob Genders Pacer 4Bl S 63 0:2:58.3 DNF Tony Roberts Falcon XW GTHO E DNF 0:2:49.3 DNF John Roxburgh Datsun 1200 A DNF not available DNF Bill Evans / Gary Cooke Toyota Corolla A DNF not available DNF Les Grose / Keith Grose Torana LC XU1 C DNF not available DNF Graham Moore / Bill Brown Torana LC 2600S B DNF not available DNF Graham Ritter / Richard Knight Falcon XW GTHO E DNF not available DNF Norm Beechey / Bruce Hindhaugh Pacer 4Bl D DNF not available DNF John Keran / Clyde Hodgins Torana LC XU1 C DNF not available DNF Fred Gibson / Barry Seton Falcon XW GTHO E DNF not available DNF Bruce Stewart / Iain Corness Datsun 1600 B DNF not available DNF Garry Rush / Martin Chenery Falcon XW GTHO E DNF not available DNF David McKay Falcon XW GTHO E DNF not available DNF Kym Aunger / John Walker Falcon XW GTHO E DNF not available DNF Bruce Hodgson Falcon XW GTHO E DNF not available DNF David Sheldon Monaro GTS350 E DNF not available DNF Bob Beasley / Bob Muir Falcon XW GTHO E DNF not available DNF Geoff Leeds / Les Carne Mazda 1300 A DNF not available
1970,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 4th October,Hardie-Ferodo 500 Mount Panorama Bathurst 4th October 1970 Number of Laps: 130 Total Race Time: 6:33:0.0 Fastest lap: Moffat/Hamilton and Gibson/Seton 2:52.1 (129.11 km/h) Classes: Class A - Up to $1960; Class B - $1961 to $2400; Class C - $2401 to $3150; Class D - $3151 to $4100; Class E - Over $4100 1970 Hardie-Ferodo 500 Program Following previous racing events around the country and most particularly at the Sandown 250 Ford were discovering much to their chargrin that the new Cleveland engines were not proving to be as reliable as they should have been. Ford went into the 1970 race with 14 Falcon's and an air of uncertainty about their engines their brakes and the potential of the opposition particularly the Torana’s which had done very well at Sandown Park. Then there were the new Chrysler Pacer's an unknown at the race track and featuring a sweet 4 liter 245ci straight six with a four-barrel carburetor. The Pacer was developed under the guidance of Leo Geoghegan and although slightly larger in size than the Falcon’s it was like the Torana lighter. In practice Allan Moffat won pole position with a 2 min. 49 sec. lap and the other works-entered Falcons filled positions two and three on the grid. But practice did not increase Ford's confidence as the Torana’s had run all day with problem whereas the Falcons had suffered a lot of engine troubles and overnight rebuilds were the order of the day for quite a number of them. The first lap of the race gave heart to the Holden supporters as Colin Bond who had already worked up from fourth on the grid dived under Allan Moffat under brakes to take the lead in his Torana XU1. It didn't take Moffat long to re-pass Bond however and the Canadian stayed in the No. 1 spot for the remainder of the race. Behind him however a lot of Falcons were in trouble. The works car of Fred Gibson and Barry Seton had its differential seize and Bruce Hodgson Gary Rush David McKay Kyrn Aunger and Bob Beasley all suffered engine failures. Bruce McPhee also in a works car came in second on the same lap as Moffat but the next Falcon home was the car of John Goss and Bob Skelton who had driven a good race to come in seventh theirs being the first non-works Falcon to complete the distance. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Allan Moffat Falcon XW GTHO E 130 0:2:49.3 2 Bruce McPhee Falcon XW GTHO E 130 0:2:50.0 3 Don Holland Torana LC XU1 C 129 0:2:54.3 4 Doug Chivas / Graham Ryan Valiant Pacer 2BL C 129 0:3:00.2 5 Leo Geoghegan / Nick Ledingham Valiant Pacer 2BL C 128 0:2:59.8 6 George Garth / John Hall Torana LC XU1 C 128 0:2:58.1 7 Des West / Peter Brown Valiant Pacer 4BL D 127 0:2:56.0 8 Brian Reed / Bob Watson Torana LC XU1 C 127 0:2:57.3 9 John Goss / Bob Skelton Falcon XW GTHO E 127 0:3:09.3 10 Warren Gracie / Ron Gillard Torana LC XU1 C 126 0:3:02.0 11 Spencer Martin / Bob Martin Torana LC XU1 C 125 0:2:58.2 12 Hans Tholstrup / Bill Ford Falcon XW GTHO E 125 0:2:59.1 13 Christine Cole / Sandra Bennett Torana LC XU1 C 123 0:3:00.2 14 Bob Holden Falcon XW GTHO E 123 0:3:00.3 15 Alan Cant / Bob Cook Valiant Pacer 4BL D 121 0:3:02.5 16 Colin Bond Torana LC XU1 C 119 0:2:54.0 17 Bob Drane Escort TC C 119 0:3:10.2 18 Trevor Meehan / Peter Wherrett Falcon XW GTHO E 118 0:2:58.2 19 Don Smith Datsun 1600 B 117 0:3:18.4 20 Doug Whiteford Datsun 1600 B 117 0:3:19.4 21 Chris Cronan / Mark Cortese Torana LC XU1 C 117 0:3:01.4 22 Jack Magic / David O'Keefe BMW 2800 E 117 0:3:10.2 23 Ron Kearns / Gerry Lister Fiat 125S D 116 0:3:20.1 24 Barry Tapsall / Jon Leighton Datsun 1200 A 114 0:3:25.0 25 Bernie Haehnle / Neil Revell Mazda 1300 A 114 0:3:25.9 26 John Leffler / Gary Hodge Mazda 1300 A 113 0:3:25.2 27 Brian Sampson / Dick Thurston Toyota Corolla A 113 0:3:27.2 28 James Laing-Peach / Barry Ferguson Mazda 1300 A 112 0:3:27.9 29 Geoff Westbury / Ray Marquet Cortina 1600 B 112 0:3:28.2 30 Max Stewart / Dick Young Toyota Corolla A 112 0:3:28.0 31 Lyndon McLeod / Brian Culcheth Triumph 2.5 PI D 111 0:3:15.5 32 Ray Morris Mazda 1300 A 111 0:3:28.7 33 Trevor Mason Mazda 1300 A 111 0:3:30.4 34 Digby Cooke / David Seldon Torana LC XU1 C 108 0:2:56.2 35 Carl Kennedy / Bill Slattery Datsun 1200 A 108 0:3:32.3 36 Arthur Olsen / Lynne Keefe Morris Cooper S C 107 0:3:33.0 37 Peter Brock / Bob Morris Torana LC XU1 C 107 0:2:54.8 38 Bill Stanley / Mike Kable Toyota Corolla A 106 0:3:28.1 39 Bob Forbes / Peter Finlay Fiat 128 B 106 0:3:36.3 40 Ross Hewison / Brian Hones Escort TC C 105 0:3:10.1 41 Harry Gapps / Frank Hann Escort 1300 A 103 0:3:42.8 42 Carole Corness / Gloria Taylor Escort 1300 A 103 0:3:49.0 43 Joe Butta / Bob Genders Pacer 4Bl S 63 0:2:58.3 DNF Tony Roberts Falcon XW GTHO E DNF 0:2:49.3 DNF John Roxburgh Datsun 1200 A DNF not available DNF Bill Evans / Gary Cooke Toyota Corolla A DNF not available DNF Les Grose / Keith Grose Torana LC XU1 C DNF not available DNF Graham Moore / Bill Brown Torana LC 2600S B DNF not available DNF Graham Ritter / Richard Knight Falcon XW GTHO E DNF not available DNF Norm Beechey / Bruce Hindhaugh Pacer 4Bl D DNF not available DNF John Keran / Clyde Hodgins Torana LC XU1 C DNF not available DNF Fred Gibson / Barry Seton Falcon XW GTHO E DNF not available DNF Bruce Stewart / Iain Corness Datsun 1600 B DNF not available DNF Garry Rush / Martin Chenery Falcon XW GTHO E DNF not available DNF David McKay Falcon XW GTHO E DNF not available DNF Kym Aunger / John Walker Falcon XW GTHO E DNF not available DNF Bruce Hodgson Falcon XW GTHO E DNF not available DNF David Sheldon Monaro GTS350 E DNF not available DNF Bob Beasley / Bob Muir Falcon XW GTHO E DNF not available DNF Geoff Leeds / Les Carne Mazda 1300 A DNF not available
1970,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 4th October,Hardie-Ferodo 500 Mount Panorama Bathurst 4th October 1970
1970,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 4th October,Number of Laps: 130 Total Race Time: 6:33:0.0 Fastest lap: Moffat/Hamilton and Gibson/Seton 2:52.1 (129.11 km/h) Classes: Class A - Up to $1960; Class B - $1961 to $2400; Class C - $2401 to $3150; Class D - $3151 to $4100; Class E - Over $4100
1971,1,Allan Moffat,,Falcon XY GTHO
1971,2,Phil Barnes,Bob Skelton,Falcon XY GTHO
1971,3,David McKay,,Falcon XY GTHO
1971,4,Colin Bond,,Torana LC XU1
1971,5,John French,,Falcon XY GTHO
1971,6,John Goss,,Falcon XY GTHO
1971,7,Leo Geoghegan,Peter Brown,Charger E38
1971,8,Peter Brock,,Torana LC XU1
1971,9,Don Holland,Brian Foley,Torana LC XU1
1971,10,Bob Beasley,,Charger E38
1971,11,Murray Carter,,Falcon XY GTHO
1971,12,Norm Beechey,Jim McKeown,Charger E38
1971,13,Bruce McPhee,,Torana LC XU1
1971,14,Kevin Bartlett,,Falcon XY GTHO
1971,15,Joe Butta,Geoff Hunter,Charger E38
1971,16,Martin Chenery,,Charger E38
1971,17,Tony Roberts,,Torana LC XU1
1971,18,John Walker,Malcolm Ramsay,Torana LC XU1
1971,19,Doug Chivas,Graham Moore,Charger E38
1971,20,Des West,,Falcon XY GTHO
1971,21,Gerry Lister,David Seldon,Falcon XY 500
1971,22,Mick Brown,,Torana LC XU1
1971,23,Geoff Leeds,Digby Cooke,Torana LC XU1
1971,24,Ron Kearns,,Fiat 124S
1971,25,Brian Reed,Graham Ritter,Charger E38
1971,26,Gary Cooke,,Mazda RX2
1971,27,Geoff Wade,Geoff Perry,Torana LC GTR
1971,28,Graham Ryan,,Charger E38
1971,29,Pat Peck,Jan Holland,Torana LC XU1
1971,30,Mal Brewster,Ray Strong,Torana LC GTR
1971,31,Ross Hewison,Brian Hones,Escort TC
1971,32,Wayne Rogerson,Alan Mayne,Mazda RX2
1971,33,Bob Wedd,Bob Cracknell,Morris Cooper S
1971,34,Herb Vines,Chris Batger,Escort TC
1971,35,Geoff Westbury,Jim Sullivan,Cortina 2000L
1971,36,Bruce Stewart,,Datsun 1600
1971,37,John Leffler,,Mazda 1300
1971,38,Les Carne,Peter Cray,Mazda 1300
1971,39,Barry Arentz,,Toyota Corolla
1971,40,Carl Kennedy,Bill Slattery,Mazda 1300
1971,41,Ken Brian,Noel Riley,Honda 1300S
1971,42,Bill Stanley,Mike Kable,Morris Cooper S
1971,43,Doug Whiteford,,Datsun 1200
1971,44,George Garth,John Hall,Mazda 1600
1971,45,Don Smith,,Datsun 1600
1971,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 3rd October,Hardie-Ferodo 500 Mount Panorama Bathurst 3rd October 1971 Number of Laps: 130 Total Race Time: 6:9:49.5 Fastest lap: Bob Morris 2:40 (138.87 km/h) Classes: Class A - Up to $2150; Class B - $2151 to $2500; Class C - $2501 to $3150; Class D - $3151 to $4350; Class E - Over $4350 1971 Hardie-Ferodo 500 Program Thirteen Falcon GTHO Phase 3’s started in the 1971 Hardie-Ferodo led by the works' cars of Allan Moffat and John French. Once again Moffat gained pole position with a best lap practice of 2:38.9 10 seconds faster than 1970 which did not encourage the Torana and Charger crews who then had to hope on a series of mechanical failures from the big Ford’s to stand a chance. As it happened although five of the Falcons did fail to finish only one of these was due to mechanical problems this being the car of Trevor Meehan who suffered brake problems. Of the four retirements the Gibson/Seton car had its differential fail after someone had accidentally put odd tires on the rear the Beck/Rush car crashed Bob Morris’s car overheated after a sheet of newspaper stuck over the grille. And Bill Brown suffered yet another dreadful rollover when his Falcon blew a tire at McPhillamy Park and rolled along the top of the fence the car being virtually cut in two (see: Bathurst Memorable Moments ). It was a terrifying crash and TV viewers were treated to it’s replay time and time again during the afternoon. Allan Moffat led the race all the way and never looked like losing it but to add to Ford’s triumph Falcon’s also came in second and third (Barnes/Skelton and McKay) fifth (French) and seventh (Goss). The good result must have been very pleasing to Ford not only for their sales figures but also for Howard Marsden who took over the leadership of Ford's racing activities just before Bathurst and was confronted with the fact that the reliability of the modified Cleveland engines was still fairly unknown. The engines did hold together and very well too so the months of time and effort put into them were not wasted. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Allan Moffat Falcon XY GTHO E 130 0:2:45.0 2 Phil Barnes / Bob Skelton Falcon XY GTHO E 129 0:2:45.4 3 David McKay Falcon XY GTHO E 129 0:2:44.4 4 Colin Bond Torana LC XU1 D 129 0:2:46.9 5 John French Falcon XY GTHO E 129 0:2:41.9 6 John Goss Falcon XY GTHO E 129 0:2:47.2 7 Leo Geoghegan / Peter Brown Charger E38 E 129 0:2:45.7 8 Peter Brock Torana LC XU1 D 129 0:2:46.3 9 Don Holland / Brian Foley Torana LC XU1 D 129 not available 10 Bob Beasley Charger E38 D 128 0:2:46.3 11 Murray Carter Falcon XY GTHO E 127 not available 12 Norm Beechey / Jim McKeown Charger E38 D 127 not available 13 Bruce McPhee Torana LC XU1 D 127 not available 14 Kevin Bartlett Falcon XY GTHO E 126 0:2:53.3 15 Joe Butta / Geoff Hunter Charger E38 D 126 not available 16 Martin Chenery Charger E38 D 125 not available 17 Tony Roberts Torana LC XU1 D 125 not available 18 John Walker / Malcolm Ramsay Torana LC XU1 D 124 not available 19 Doug Chivas / Graham Moore Charger E38 D 124 0:2:47.1 20 Des West Falcon XY GTHO E 123 0:2:46.7 21 Gerry Lister / David Seldon Falcon XY 500 D 122 not available 22 Mick Brown Torana LC XU1 D 121 0:2:44.7 23 Geoff Leeds / Digby Cooke Torana LC XU1 D 120 not available 24 Ron Kearns Fiat 124S E 118 not available 25 Brian Reed / Graham Ritter Charger E38 D 118 not available 26 Gary Cooke Mazda RX2 C 117 not available 27 Geoff Wade / Geoff Perry Torana LC GTR C 117 not available 28 Graham Ryan Charger E38 D 116 not available 29 Pat Peck / Jan Holland Torana LC XU1 D 115 not available 30 Mal Brewster / Ray Strong Torana LC GTR C 115 not available 31 Ross Hewison / Brian Hones Escort TC C 114 0:3:6.3 32 Wayne Rogerson / Alan Mayne Mazda RX2 C 113 not available 33 Bob Wedd / Bob Cracknell Morris Cooper S C 111 not available 34 Herb Vines / Chris Batger Escort TC C 110 not available 35 Geoff Westbury / Jim Sullivan Cortina 2000L C 110 not available 36 Bruce Stewart Datsun 1600 B 109 not available 37 John Leffler Mazda 1300 A 108 not available 38 Les Carne / Peter Cray Mazda 1300 A 107 not available 39 Barry Arentz Toyota Corolla A 106 not available 40 Carl Kennedy / Bill Slattery Mazda 1300 A 105 not available 41 Ken Brian / Noel Riley Honda 1300S C 104 not available 42 Bill Stanley / Mike Kable Morris Cooper S C 102 not available 43 Doug Whiteford Datsun 1200 A 100 0:3:21.6 44 George Garth / John Hall Mazda 1600 B 99 0:3:14.1 45 Don Smith Datsun 1600 B 97 not available DNF Damon Beck / Garry Rush Falcon XY GTHO E DNF not available DNF Brian Sampson Toyota Corolla A DNF not available DNF Tom Naughton / Ross Wemyss Charger E38 D DNF not available DNF Bryan Thomson / John Mann Alfa Giulia D DNF not available DNF Bob Morris / Ray Morris Falcon XY GTHO E DNF not available DNF Trevor Meehan Falcon XY GTHO E DNF not available DNF Bob Jane / John Harvey Torana LC XU1 D DNF not available DNF Bob Forbes / John Millyard Charger E38 D DNF not available DNF Bill Brown Falcon XY GTHO E DNF not available DNF Fred Gibson / Barry Seton Falcon XY GTHO E DNF not available DNF Bernie Haehnle / Ray Kaleda Mazda 1300 A DNF not available DNF Scott McNaughton / Geoff Harvey Torana LC XU1 D DNF not available DNF Alan Cant / Herb Taylor Escort TC C DNF not available DNF John Roxburgh / Jon Leighton Datsun 1600 B DNF not available DNF James Laing-Peach Datsun 1200 A DNF not available
1971,500,Hardie-Ferodo 500 Mount Panorama,Bathurst 3rd October,Hardie-Ferodo 500 Mount Panorama Bathurst 3rd October 1971 Number of Laps: 130 Total Race Time: 6:9:49.5 Fastest lap: Bob Morris 2:40 (138.87 km/h) Classes: Class A - Up to $2150; Class B - $2151 to $2500; Class C - $2501 to $3150; Class D - $3151 to $4350; Class E - Over $4350 1971 Hardie-Ferodo 500 Program Thirteen Falcon GTHO Phase 3’s started in the 1971 Hardie-Ferodo led by the works' cars of Allan Moffat and John French. Once again Moffat gained pole position with a best lap practice of 2:38.9 10 seconds faster than 1970 which did not encourage the Torana and Charger crews who then had to hope on a series of mechanical failures from the big Ford’s to stand a chance. As it happened although five of the Falcons did fail to finish only one of these was due to mechanical problems this being the car of Trevor Meehan who suffered brake problems. Of the four retirements the Gibson/Seton car had its differential fail after someone had accidentally put odd tires on the rear the Beck/Rush car crashed Bob Morris’s car overheated after a sheet of newspaper stuck over the grille. And Bill Brown suffered yet another dreadful rollover when his Falcon blew a tire at McPhillamy Park and rolled along the top of the fence the car being virtually cut in two (see: Bathurst Memorable Moments ). It was a terrifying crash and TV viewers were treated to it’s replay time and time again during the afternoon. Allan Moffat led the race all the way and never looked like losing it but to add to Ford’s triumph Falcon’s also came in second and third (Barnes/Skelton and McKay) fifth (French) and seventh (Goss). The good result must have been very pleasing to Ford not only for their sales figures but also for Howard Marsden who took over the leadership of Ford's racing activities just before Bathurst and was confronted with the fact that the reliability of the modified Cleveland engines was still fairly unknown. The engines did hold together and very well too so the months of time and effort put into them were not wasted. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Allan Moffat Falcon XY GTHO E 130 0:2:45.0 2 Phil Barnes / Bob Skelton Falcon XY GTHO E 129 0:2:45.4 3 David McKay Falcon XY GTHO E 129 0:2:44.4 4 Colin Bond Torana LC XU1 D 129 0:2:46.9 5 John French Falcon XY GTHO E 129 0:2:41.9 6 John Goss Falcon XY GTHO E 129 0:2:47.2 7 Leo Geoghegan / Peter Brown Charger E38 E 129 0:2:45.7 8 Peter Brock Torana LC XU1 D 129 0:2:46.3 9 Don Holland / Brian Foley Torana LC XU1 D 129 not available 10 Bob Beasley Charger E38 D 128 0:2:46.3 11 Murray Carter Falcon XY GTHO E 127 not available 12 Norm Beechey / Jim McKeown Charger E38 D 127 not available 13 Bruce McPhee Torana LC XU1 D 127 not available 14 Kevin Bartlett Falcon XY GTHO E 126 0:2:53.3 15 Joe Butta / Geoff Hunter Charger E38 D 126 not available 16 Martin Chenery Charger E38 D 125 not available 17 Tony Roberts Torana LC XU1 D 125 not available 18 John Walker / Malcolm Ramsay Torana LC XU1 D 124 not available 19 Doug Chivas / Graham Moore Charger E38 D 124 0:2:47.1 20 Des West Falcon XY GTHO E 123 0:2:46.7 21 Gerry Lister / David Seldon Falcon XY 500 D 122 not available 22 Mick Brown Torana LC XU1 D 121 0:2:44.7 23 Geoff Leeds / Digby Cooke Torana LC XU1 D 120 not available 24 Ron Kearns Fiat 124S E 118 not available 25 Brian Reed / Graham Ritter Charger E38 D 118 not available 26 Gary Cooke Mazda RX2 C 117 not available 27 Geoff Wade / Geoff Perry Torana LC GTR C 117 not available 28 Graham Ryan Charger E38 D 116 not available 29 Pat Peck / Jan Holland Torana LC XU1 D 115 not available 30 Mal Brewster / Ray Strong Torana LC GTR C 115 not available 31 Ross Hewison / Brian Hones Escort TC C 114 0:3:6.3 32 Wayne Rogerson / Alan Mayne Mazda RX2 C 113 not available 33 Bob Wedd / Bob Cracknell Morris Cooper S C 111 not available 34 Herb Vines / Chris Batger Escort TC C 110 not available 35 Geoff Westbury / Jim Sullivan Cortina 2000L C 110 not available 36 Bruce Stewart Datsun 1600 B 109 not available 37 John Leffler Mazda 1300 A 108 not available 38 Les Carne / Peter Cray Mazda 1300 A 107 not available 39 Barry Arentz Toyota Corolla A 106 not available 40 Carl Kennedy / Bill Slattery Mazda 1300 A 105 not available 41 Ken Brian / Noel Riley Honda 1300S C 104 not available 42 Bill Stanley / Mike Kable Morris Cooper S C 102 not available 43 Doug Whiteford Datsun 1200 A 100 0:3:21.6 44 George Garth / John Hall Mazda 1600 B 99 0:3:14.1 45 Don Smith Datsun 1600 B 97 not available DNF Damon Beck / Garry Rush Falcon XY GTHO E DNF not available DNF Brian Sampson Toyota Corolla A DNF not available DNF Tom Naughton / Ross Wemyss Charger E38 D DNF not available DNF Bryan Thomson / John Mann Alfa Giulia D DNF not available DNF Bob Morris / Ray Morris Falcon XY GTHO E DNF not available DNF Trevor Meehan Falcon XY GTHO E DNF not available DNF Bob Jane / John Harvey Torana LC XU1 D DNF not available DNF Bob Forbes / John Millyard Charger E38 D DNF not available DNF Bill Brown Falcon XY GTHO E DNF not available DNF Fred Gibson / Barry Seton Falcon XY GTHO E DNF not available DNF Bernie Haehnle / Ray Kaleda Mazda 1300 A DNF not available DNF Scott McNaughton / Geoff Harvey Torana LC XU1 D DNF not available DNF Alan Cant / Herb Taylor Escort TC C DNF not available DNF John Roxburgh / Jon Leighton Datsun 1600 B DNF not available DNF James Laing-Peach Datsun 1200 A DNF not available
