year,position,driver_1,driver_2,constructor
1963,500,Armstrong 500 Mount Panorama,Bathurst 6th October,Armstrong 500 Mount Panorama Bathurst 6th October 1963 Number of Laps: 130 Total Race Time: 7:46:99.10 Fastest lap: N/A Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000 In 1963 the race was moved to the Mount at a time when both manufacturers and sponsors were beginning to understand the potential commercial gains to be made such was the amount of support the race had so quickly garnered from the public. It was only natural for the manufacturers to want to have success on the Mountain knowing only too well that a victory at this event would ensure sales the next day. Thus began the manufacture of "Bathurst Specials" cars designed specifically for the big race. The first came in 1963 with the Holden EH S4 which featured a 179ci engine and 3.36:1 diff. Although 6 would be entered that year it was the all conquering GT Cortina 1500 of Bob Jane and Harry Firth that would take the honours. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS 1 Harry Firth / Bob Jane Ford Cortina GT C 130 2 Frank Morgan / Ralph Sach Holden EH S4 C 129 3 Bruce McPhee / Graham Ryan Ford Cortina GT C 129 4 Tony Reynolds / Tony Allen Valiant AP5 D 126 5 Geoff Russell / John Reaburn Ford Zephyr D 126 6 Doug Chivas / Ken Wilkinson Morris Cooper B 125 7 Jim Gates / Mike Nedelko Morris Cooper B 125 8 Bill Cunliffe / Barry Broomhall Ford Cortina GT C 124 9 Harry Budd / R. Smith Holden EH S4 C 123 10 Alan Caelli / Ern Abbott Ford Cortina 1500 B 123 11 Max Volkers / K. Burns Ford Cortina 1500 B 123 12 Wal Donnelly / John Marchiori Morris Cooper B 122 13 Des West / John Martin Morris Cooper B 120 14 Om Harding / Adrian Yannucelli Morris Cooper B 120 15 Ian Grant / Trevor Marden Holden EH S4 C 120 16 Frank Matich / George Murray Renault R8 B 119 17 John Connolly / Bob Draper Renault R8 B 119 18 Bob Holden / Bill March Peugeot 404 D 119 19 Bill Ford / Barry Ferguson Volkswagen A 116 20 Don Holland / Lindsay Little Morris Mini 850 B 116 21 Brian Foley / Peter Manton Morris Cooper B 116 22 George Reynolds / Jim McKeown Volkswagen A 115 23 Kevin Bartlett / Bill Reynolds Holden EH S4 C 115 24 Phil McCumisky / Lex Brailey Holden FB C 115 25 Peter Brown / Ron Marshall Morris Cooper B 115 26 Am Andrews / Rocky Tresise Volkswagen A 115 27 Bert Needham / Warren Weldon Studebaker Lark D 115 28 Charlie Smith / Ron Hodgson Morris Cooper B 115 29 Ken Brigden / Bruce Smith Simca Aronde B 114 30 Greg Mackie / Graham White Volkswagen A 113 31 John Alexander / Bill Stanley Morris Mini 850 A 113 32 Barry Gurdon / Jerry Trevor-Jones Morris Elite B 113 33 Jack Murray / Alan Edney Morris Elite B 113 34 Barry Seton / Herb Taylor Morris Mini 850 A 112 35 Warren Blomfield / Lorraine Hill Morris Elite B 112 36 Ron Thorp / Jim White Morris Elite B 111 37 Frank Hann / Graham Forrest Volkswagen A 111 38 Brian Muir / Spencer Martin Holden EH S4 C 111 39 Tom Corcoran / Digby Cooke Morris Mini 850 A 111 40 Fred Sutherland / Les Park Renault Gordini B 110 41 Barry Collerson / Les Howard Fiat 770 A 103 42 David Walker / Ron Clarke Renault R8 B 102 43 Mike Callan / Jim Bonthorne Triumph Herald A 101 44 Kevin Nicholson / Fred Gibson Morris Mini 850 A 89 45 Bill Burns / Brian Lawler Humber Snipe D 21 DNF Tony Hill / Frank Kleinig Morris Mini 850 A DNF DNF Doug Kelley / Graham Kelley Morris Cooper B DNF DNF Dave Humphries / Mike Martin Morris Cooper B DNF DNF Sid Howard / Les Weiley Morris Cooper B DNF DNF Paul Bolton / Laurie Stewart Morris Cooper B DNF DNF Carl Kennedy / Doug Stewart Simca Aronde B DNF DNF Ian Geoghegan / Leo Geoghegan Ford Cortina GT C DNF DNF Jim O'Shaunnessy / John Brindley Holden EH S4 C DNF DNF Bob Cook / Alwyn Rose Valiant S D DNF DNF Jim Wright / Ian Ferguson Studebaker Lark D DNF DNF David McKay / Greg Cusack Vauxhall Velox D DNF DNF Bill Coe / Syd Fisher Peugeot 404 D DNF
1963,500,Armstrong 500 Mount Panorama,Bathurst 6th October,Armstrong 500 Mount Panorama Bathurst 6th October 1963 Number of Laps: 130 Total Race Time: 7:46:99.10 Fastest lap: N/A Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000 In 1963 the race was moved to the Mount at a time when both manufacturers and sponsors were beginning to understand the potential commercial gains to be made such was the amount of support the race had so quickly garnered from the public. It was only natural for the manufacturers to want to have success on the Mountain knowing only too well that a victory at this event would ensure sales the next day. Thus began the manufacture of "Bathurst Specials" cars designed specifically for the big race. The first came in 1963 with the Holden EH S4 which featured a 179ci engine and 3.36:1 diff. Although 6 would be entered that year it was the all conquering GT Cortina 1500 of Bob Jane and Harry Firth that would take the honours. Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS 1 Harry Firth / Bob Jane Ford Cortina GT C 130 2 Frank Morgan / Ralph Sach Holden EH S4 C 129 3 Bruce McPhee / Graham Ryan Ford Cortina GT C 129 4 Tony Reynolds / Tony Allen Valiant AP5 D 126 5 Geoff Russell / John Reaburn Ford Zephyr D 126 6 Doug Chivas / Ken Wilkinson Morris Cooper B 125 7 Jim Gates / Mike Nedelko Morris Cooper B 125 8 Bill Cunliffe / Barry Broomhall Ford Cortina GT C 124 9 Harry Budd / R. Smith Holden EH S4 C 123 10 Alan Caelli / Ern Abbott Ford Cortina 1500 B 123 11 Max Volkers / K. Burns Ford Cortina 1500 B 123 12 Wal Donnelly / John Marchiori Morris Cooper B 122 13 Des West / John Martin Morris Cooper B 120 14 Om Harding / Adrian Yannucelli Morris Cooper B 120 15 Ian Grant / Trevor Marden Holden EH S4 C 120 16 Frank Matich / George Murray Renault R8 B 119 17 John Connolly / Bob Draper Renault R8 B 119 18 Bob Holden / Bill March Peugeot 404 D 119 19 Bill Ford / Barry Ferguson Volkswagen A 116 20 Don Holland / Lindsay Little Morris Mini 850 B 116 21 Brian Foley / Peter Manton Morris Cooper B 116 22 George Reynolds / Jim McKeown Volkswagen A 115 23 Kevin Bartlett / Bill Reynolds Holden EH S4 C 115 24 Phil McCumisky / Lex Brailey Holden FB C 115 25 Peter Brown / Ron Marshall Morris Cooper B 115 26 Am Andrews / Rocky Tresise Volkswagen A 115 27 Bert Needham / Warren Weldon Studebaker Lark D 115 28 Charlie Smith / Ron Hodgson Morris Cooper B 115 29 Ken Brigden / Bruce Smith Simca Aronde B 114 30 Greg Mackie / Graham White Volkswagen A 113 31 John Alexander / Bill Stanley Morris Mini 850 A 113 32 Barry Gurdon / Jerry Trevor-Jones Morris Elite B 113 33 Jack Murray / Alan Edney Morris Elite B 113 34 Barry Seton / Herb Taylor Morris Mini 850 A 112 35 Warren Blomfield / Lorraine Hill Morris Elite B 112 36 Ron Thorp / Jim White Morris Elite B 111 37 Frank Hann / Graham Forrest Volkswagen A 111 38 Brian Muir / Spencer Martin Holden EH S4 C 111 39 Tom Corcoran / Digby Cooke Morris Mini 850 A 111 40 Fred Sutherland / Les Park Renault Gordini B 110 41 Barry Collerson / Les Howard Fiat 770 A 103 42 David Walker / Ron Clarke Renault R8 B 102 43 Mike Callan / Jim Bonthorne Triumph Herald A 101 44 Kevin Nicholson / Fred Gibson Morris Mini 850 A 89 45 Bill Burns / Brian Lawler Humber Snipe D 21 DNF Tony Hill / Frank Kleinig Morris Mini 850 A DNF DNF Doug Kelley / Graham Kelley Morris Cooper B DNF DNF Dave Humphries / Mike Martin Morris Cooper B DNF DNF Sid Howard / Les Weiley Morris Cooper B DNF DNF Paul Bolton / Laurie Stewart Morris Cooper B DNF DNF Carl Kennedy / Doug Stewart Simca Aronde B DNF DNF Ian Geoghegan / Leo Geoghegan Ford Cortina GT C DNF DNF Jim O'Shaunnessy / John Brindley Holden EH S4 C DNF DNF Bob Cook / Alwyn Rose Valiant S D DNF DNF Jim Wright / Ian Ferguson Studebaker Lark D DNF DNF David McKay / Greg Cusack Vauxhall Velox D DNF DNF Bill Coe / Syd Fisher Peugeot 404 D DNF
1963,500,Armstrong 500 Mount Panorama,Bathurst 6th October,Armstrong 500 Mount Panorama Bathurst 6th October 1963
1963,500,Armstrong 500 Mount Panorama,Bathurst 6th October,Number of Laps: 130 Total Race Time: 7:46:99.10 Fastest lap: N/A Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000
1964,1,Bob Jane,George Reynolds,Cortina GT
1964,2,Barry Seton,Herb Taylor,Cortina GT
1964,3,Harry Firth,John Reaburn,Cortina GT
1964,4,Bert Needham,Warren Weldon,Studebaker
1964,5,Ron Hodgson,John French,Cortina GT
1964,6,Leo Geoghegan,Ian Geoghegan,Cortina GT
1964,7,Bruce McPhee,Barry Mulholland,Cortina GT
1964,8,Fred Sutherland,Alan Mottram,Studebaker
1964,9,Charlie Smith,Bruce Maher,Morris Cooper
1964,10,Bill Buckle,Brian Foley,Citroen
1964,11,Bill Burns,Brian Lawler,Ford Zephyr
1964,12,Arthur Davis,Paul Mander,Triumph 2000
1964,13,Bob Cook,Alwyn Rose,Valiant
1964,14,Don Holland,Laurie Stewart,Morris Cooper
1964,15,Barry Thiele,Ray Kaleda,Morris Cooper
1964,16,Warren Blomfield,Jerry Trevor-Jones,Morris Cooper
1964,17,Bill March,Jim White,Renault R8
1964,18,John Connolly,Rex Emmett,Renault R8
1964,19,Bob Holden,Ken Pascal,Renault R8
1964,20,Bill Barnett,Don Johnston,Humber Vogue
1964,21,Bill Gates,Brian Fleming,Renault R8
1964,22,Peter Brown,Ray Gulson,Morris Cooper
1964,23,Les Park,John Roxburgh,Renault R8
1964,24,Lex Davison,Rocky Tresise,Triumph 2000
1964,25,Tony Reynolds,Tony Allen,Triumph 2000
1964,26,Jim Bonthorne,John Dando,Cortina 1500
1964,27,Spencer Martin,Bill Brown,Vauxhall Viva
1964,28,Brian Muir,Ron Clarke,Vauxhall Viva
1964,29,Arnold Ahrenfeld,John Marchiori,Vauxhall Viva
1964,30,Mike Martin,John Prisk,Morris Cooper
1964,31,Mike Champion,Tony Simmons,Vauxhall Viva
1964,32,Jack Gates,Mike Nedelko,Vauxhall Viva
1964,33,George Murray,C. McLean,Vauxhall Viva
1964,34,Alton Boddenberg,Digby Cooke,Simca
1964,35,David Walker,Brian Milton,VW 1200
1964,36,Peter Williamson,Midge Bosworth,Hillman Imp
1964,37,Chris McSorley,Phil West,Hillman Imp
1964,38,Lionel Ayers,Denis Geary,Hillman Imp
1964,39,Bernie Haehnle,Neil McKay,VW 1200
1964,40,Bill Ford,Barry Ferguson,VW 1200
1964,41,Lorraine Hill,Brian Reed,Hillman Imp
1964,42,Paul Bolton,John Schroder,Hillman Imp
1964,43,Frank Hann,Graham Forrest,VW 1200
1964,44,Max Stewart,Bob Salter,Triumph 2000
1964,45,Matt Daddo,Keith Russell,Morris 850
1964,46,Brian McGrath,David Burton,Renault R8
1964,47,Lyndon McLeod,Lionel Williams,Holden Premier
1964,500,Armstrong 500 Mount Panorama,Bathurst 4th October,Armstrong 500 Mount Panorama Bathurst 4th October 1964 Number of Laps: 130 Total Race Time: N/A Fastest lap: Geoghegan/Geoghegan 3:21.3 (110.38 km/h) Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000 Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS 1 Bob Jane / George Reynolds Cortina GT C 130 2 Barry Seton / Herb Taylor Cortina GT C 130 3 Harry Firth / John Reaburn Cortina GT C 129 4 Bert Needham / Warren Weldon Studebaker D 128 5 Ron Hodgson / John French Cortina GT C 127 6 Leo Geoghegan / Ian Geoghegan Cortina GT C 127 7 Bruce McPhee / Barry Mulholland Cortina GT C 126 8 Fred Sutherland / Alan Mottram Studebaker D 126 9 Charlie Smith / Bruce Maher Morris Cooper B 124 10 Bill Buckle / Brian Foley Citroen D 124 11 Bill Burns / Brian Lawler Ford Zephyr D 123 12 Arthur Davis / Paul Mander Triumph 2000 D 123 13 Bob Cook / Alwyn Rose Valiant D 123 14 Don Holland / Laurie Stewart Morris Cooper B 123 15 Barry Thiele / Ray Kaleda Morris Cooper B 121 16 Warren Blomfield / Jerry Trevor-Jones Morris Cooper B 120 17 Bill March / Jim White Renault R8 B 120 18 John Connolly / Rex Emmett Renault R8 B 120 19 Bob Holden / Ken Pascal Renault R8 B 119 20 Bill Barnett / Don Johnston Humber Vogue D 119 21 Bill Gates / Brian Fleming Renault R8 B 119 22 Peter Brown / Ray Gulson Morris Cooper B 118 23 Les Park / John Roxburgh Renault R8 B 117 24 Lex Davison / Rocky Tresise Triumph 2000 D 117 25 Tony Reynolds / Tony Allen Triumph 2000 D 116 26 Jim Bonthorne / John Dando Cortina 1500 B 116 27 Spencer Martin / Bill Brown Vauxhall Viva A 116 28 Brian Muir / Ron Clarke Vauxhall Viva A 115 29 Arnold Ahrenfeld / John Marchiori Vauxhall Viva A 114 30 Mike Martin / John Prisk Morris Cooper B 114 31 Mike Champion / Tony Simmons Vauxhall Viva A 114 32 Jack Gates / Mike Nedelko Vauxhall Viva A 114 33 George Murray / C. McLean Vauxhall Viva A 112 34 Alton Boddenberg / Digby Cooke Simca B 112 35 David Walker / Brian Milton VW 1200 A 112 36 Peter Williamson / Midge Bosworth Hillman Imp A 112 37 Chris McSorley / Phil West Hillman Imp A 110 38 Lionel Ayers / Denis Geary Hillman Imp A 110 39 Bernie Haehnle / Neil McKay VW 1200 A 110 40 Bill Ford / Barry Ferguson VW 1200 A 109 41 Lorraine Hill / Brian Reed Hillman Imp A 108 42 Paul Bolton / John Schroder Hillman Imp A 107 43 Frank Hann / Graham Forrest VW 1200 A 105 44 Max Stewart / Bob Salter Triumph 2000 D 105 45 Matt Daddo / Keith Russell Morris 850 A 104 46 Brian McGrath / David Burton Renault R8 B 103 47 Lyndon McLeod / Lionel Williams Holden Premier D 95 DNF Bob Skelton / Phil Ismay Holden 179 D DNF DNF Bryan Thomson / Bruce Wilson NSU Prinz A DNF DNF Peter Cray / Phil Barnes Morris 850 A DNF DNF Bill Stanley / Steve Harvey Morris 850 A DNF DNF Eric Lane / Stan Pomroy Morris 850 A DNF DNF Lex Bailey / Bill Orr Hillman Imp A DNF DNF Anthony Cooper / Joe Hills Cortina GT C DNF DNF Ian Grant / W. Mitchell Holden 179 C DNF DNF Ralph Sach / Max Brunninghausen Vauxhall Velox D DNF
