year,all star mvp,dpoy,sixth man,finals mvp,mvp,roty
2016-17,Anthony Davis,Draymond Green,Eric Gordon,Kevin Durant,Russell Westbrook,Malcolm Brogdon
2017-18,LeBron James,Rudy Gobert,Lou Williams,Kevin Durant,James Harden,Ben Simmons
2018-19,Kevin Durant,Rudy Gobert,Lou Williams,Kawhi Leonard,Giannis Antetokounmpo,Luka Dončić
2019-20,Kawhi Leonard,Giannis Antetokounmpo,Montrezl Harrell,LeBron James,Giannis Antetokounmpo,Ja Morant
2020-21,Giannis Antetokounmpo,Rudy Gobert,Jordan Clarkson,Giannis Antetokounmpo,Nikola Jokić,LaMelo Ball
2021-22,Stephen Curry,Marcus Smart,Tyler Herro,Stephen Curry,Nikola Jokić,Scottie Barnes
2022-23,Jayson Tatum,Jaren Jackson Jr.,Malcolm Brogdon,Nikola Jokić,Joel Embiid,Paolo Banchero
2023-24,Damian Lillard,Rudy Gobert,Naz Reid,Jaylen Brown,Nikola Jokić,Victor Wembanyama
2024-25,Stephen Curry,Evan Mobley,Payton Pritchard,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Stephon Castle
2025/26,Anthony Edwards,,,,,
