COUNTRY,YEAR,RACE NAME,COURSE,RACE GRADE,DISTANCE,WINNER,JOCKEY,TRAINER,
Germany,1834,Union-Rennen,Grunewald,G2,1m 3f,Alba,Lewin,,
Germany,1835,Union-Rennen,Grunewald,G2,1m 3f,Remus,May,,
Germany,1836,Union-Rennen,Grunewald,G2,1m 3f,Donna Maria,Stinton,,
Germany,1837,Union-Rennen,Grunewald,G2,1m 3f,Mozart,Collison,,
Germany,1838,Union-Rennen,Grunewald,G2,1m 3f,My Lady,Hart,,
Germany,1839,Union-Rennen,Grunewald,G2,1m 3f,Mandarin,Lewin,,
Germany,1840,Union-Rennen,Grunewald,G2,1m 3f,Kipfelnose,Lewis,,
Germany,1841,Union-Rennen,Grunewald,G2,1m 3f,Prince Regent,Crouch,,
Germany,1842,Union-Rennen,Grunewald,G2,1m 3f,Banquo,Perkins,,
Germany,1843,Union-Rennen,Grunewald,G2,1m 3f,Madeline,Perkins,,
Germany,1844,Union-Rennen,Grunewald,G2,1m 3f,John Bull,Perkins,,
Germany,1845,Union-Rennen,Grunewald,G2,1m 3f,Minotaurus,Collison,,
Germany,1846,Union-Rennen,Grunewald,G2,1m 3f,Dolores,Collison,,
Germany,1847,Union-Rennen,Grunewald,G2,1m 3f,Whatstone,Bloss,,
Germany,1848,Union-Rennen,Grunewald,G2,1m 3f,Meridian,Collison,,
Germany,1849,Union-Rennen,Grunewald,G2,1m 3f,Achaja,Collison,,
Germany,1850,Union-Rennen,Grunewald,G2,1m 3f,Black Prince,Perkins,,
Germany,1851,Union-Rennen,Grunewald,G2,1m 3f,Lionel,Birbeck,,
Germany,1852,Union-Rennen,Grunewald,G2,1m 3f,California,Birbeck,,
Germany,1853,Union-Rennen,Grunewald,G2,1m 3f,Uriel,Birbeck,,
Germany,1854,Union-Rennen,Grunewald,G2,1m 3f,Koh-i-Noor,Crouch,,
Germany,1855,Union-Rennen,Grunewald,G2,1m 3f,Carabas,Perkins,,
Germany,1856,Union-Rennen,Grunewald,G2,1m 3f,My Hope,Sharp,,
Germany,1857,Preis der Diana,Düsseldorf,Listed,1m 3f,Sinope,Sharp,,
Germany,1857,Union-Rennen,Grunewald,G2,1m 3f,Verzug,Crouch,,
Germany,1858,Preis der Diana,Düsseldorf,Listed,1m 3f,Lavant,Bearpark,,
Germany,1858,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,La Maladetta,G Pratt,,
Germany,1858,Union-Rennen,Grunewald,G2,1m 3f,Pizarro,Bloss,,
Germany,1859,Preis der Diana,Düsseldorf,Listed,1m 3f,Isabella,Phillips,,
Germany,1859,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Geologie,A Watkins,,
Germany,1859,Union-Rennen,Grunewald,G2,1m 3f,Collingwood,O'Connor,,
Germany,1860,Preis der Diana,Düsseldorf,Listed,1m 3f,Margarethe,Perkins,,
Germany,1860,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Capucine,Spreoty,,
Germany,1860,Union-Rennen,Grunewald,G2,1m 3f,Emilius,Bearpark,,
Germany,1861,Preis der Diana,Düsseldorf,Listed,1m 3f,Doloritha,Little,,
Germany,1861,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Mon Etoile,Spreoty,,
Germany,1861,Union-Rennen,Grunewald,G2,1m 3f,Rookeby,Blohm,,
Germany,1862,Preis der Diana,Düsseldorf,Listed,1m 3f,Fullsail,Elijah Madden,,
Germany,1862,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Stradella,Charles Pratt,,
Germany,1862,Union-Rennen,Grunewald,G2,1m 3f,Wildrose,G Long,,
Germany,1863,Preis der Diana,Düsseldorf,Listed,1m 3f,Last Pippin,Blohm,,
Germany,1863,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,La Toucques,Doyle,,
Germany,1863,Union-Rennen,Grunewald,G2,1m 3f,Last Pippin,Blohm,,
Germany,1864,Preis der Diana,Düsseldorf,Listed,1m 3f,Sweet Katie,Entwhistle,Bradford,
Germany,1864,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Vermouth,Edward Flarman,Thomas Richard-Carter,
Germany,1864,Union-Rennen,Grunewald,G2,1m 3f,Pauline,Little,,
Germany,1865,Preis der Diana,Düsseldorf,Listed,1m 3f,Emiliana,Elijah Madden,J Haliwell,
Germany,1865,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Vertugadin,Hullock,Carter Jnr,
Germany,1865,Union-Rennen,Grunewald,G2,1m 3f,Bellario,Blohm,,
Republic of Ireland,1866,Irish Derby,Curragh,G1,1m 4f,Selim,C Maidment,,
Germany,1866,Preis der Diana,Düsseldorf,Listed,1m 3f,La Stella,Cook,Bradford,
Germany,1866,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Etoile Filante,Weber,,
Germany,1866,Union-Rennen,Grunewald,G2,1m 3f,Adalbert,G Long,,
Republic of Ireland,1867,Irish Derby,Curragh,G1,1m 4f,Golden Plover,C Maidment,,
Germany,1867,Preis der Diana,Düsseldorf,Listed,1m 3f,Moawija,Thomas Chapman,,
Germany,1867,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Ruy Blas,A Watkins,,
Germany,1867,Union-Rennen,Grunewald,G2,1m 3f,Pocahontas,Elijah Madden,,
Republic of Ireland,1868,Irish Derby,Curragh,G1,1m 4f,Madeira,D Wynne,,
Germany,1868,Preis der Diana,Düsseldorf,Listed,1m 3f,Bessy Giles,Whiteley,,
Germany,1868,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Trocadero ,Mizen,,
Germany,1868,Union-Rennen,Grunewald,G2,1m 3f,Gorgo,W Long,,
Republic of Ireland,1869,Irish Derby,Curragh,G1,1m 4f,The Scout,W Miller,,
Germany,1869,Deutsches Derby,Hamburg,G1,1m 4f,Investment,W Little,Rueben Bateman,
Germany,1869,Preis der Diana,Düsseldorf,Listed,1m 3f,Lady Bird,E Fisk,,
Germany,1869,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Cerdagne,Carrott,,
Germany,1869,Union-Rennen,Grunewald,G2,1m 3f,Ignorant,Elijah Madden,,
Republic of Ireland,1870,Irish Derby,Curragh,G1,1m 4f,Billy Pitt,W Canavan,T Connolly,
Germany,1870,Deutsches Derby,Hamburg,G1,1m 4f,Adonis,Elijah Madden,Charles Hayhoe,
Germany,1870,Preis der Diana,Düsseldorf,Listed,1m 3f,Caro Dame,G Sear,,
Germany,1870,Union-Rennen,Grunewald,G2,1m 3f,Flibustier,Elijah Madden,,
Republic of Ireland,1871,Irish Derby,Curragh,G1,1m 4f,Maid of Athens,T Broderick,P Doucie,
Germany,1871,Deutsches Derby,Hamburg,G1,1m 4f,Bauernfänger,Elijah Madden,Charles Hayhoe,
Germany,1871,Preis der Diana,Düsseldorf,Listed,1m 3f,Das Veilchen,E Fisk,,
Germany,1871,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Monseigneur,H Custance,,
Germany,1871,Union-Rennen,Grunewald,G2,1m 3f,Stachel,Elijah Madden,,
Republic of Ireland,1872,Irish Derby,Curragh,G1,1m 4f,Trickstress,W Miller,T Moran,
Germany,1872,Deutsches Derby,Hamburg,G1,1m 4f,Hymenaeus,W Little,Rueben Bateman,
Germany,1872,Preis der Diana,Düsseldorf,Listed,1m 3f,Libelle,Sherrington,,
Germany,1872,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Dami,Lavis,,
Germany,1872,Union-Rennen,Grunewald,G2,1m 3f,Sonntag,E Fisk,,
Republic of Ireland,1873,Irish Derby,Curragh,G1,1m 4f,Kyrle Daly,T Broderick,P Doucie,
Germany,1873,Deutsches Derby,Hamburg,G1,1m 4f,Amalie von Edelreich,James Grimshaw,Charles Hayhoe,
Germany,1873,Preis der Diana,Düsseldorf,Listed,1m 3f,Zwietracht,Little,,
Germany,1873,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Hochstapler,Elijah Madden,,
Germany,1873,Union-Rennen,Grunewald,G2,1m 3f,Hochstapler,Elijah Madden,,
Republic of Ireland,1874,Irish Derby,Curragh,G1,1m 4f,Ben Battle,E Martin,T Connolly,
Germany,1874,Deutsches Derby,Hamburg,G1,1m 4f,Paul,George Sopp,Michael Young,
Germany,1874,Preis der Diana,Düsseldorf,Listed,1m 3f,Hamadryade,E Fisk,,
Germany,1874,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Il Maestro,G Johnson,,
Germany,1874,Union-Rennen,Grunewald,G2,1m 3f,Roman,Tom Busby,,
Republic of Ireland,1875,Irish Derby,Curragh,G1,1m 4f,Innishowen,G Ashworth,J Toon,
Germany,1875,Deutsches Derby,Hamburg,G1,1m 4f,Palmyra,Corser,Bryant,
Germany,1875,Deutsches Derby,Hamburg,G1,1m 4f,Schwindler,Metcalf,,
Germany,1875,Preis der Diana,Düsseldorf,Listed,1m 3f,Germania,Whiteley,,
Germany,1875,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Gastgeber,Wilson,,
Germany,1875,Union-Rennen,Grunewald,G2,1m 3f,Schwindler,Metcalf,,
Republic of Ireland,1876,Irish Derby,Curragh,G1,1m 4f,Umpire,P Lynch,J French,
Germany,1876,Deutsches Derby,Hamburg,G1,1m 4f,Double Zero,Arnott,F Arnott,
Germany,1876,Preis der Diana,Düsseldorf,Listed,1m 3f,Vergissmeinnicht,E Fisk,,
Germany,1876,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Przedswit,Butters,,
Germany,1876,Union-Rennen,Grunewald,G2,1m 3f,Good Hope,Wilson,J Daley,
Republic of Ireland,1877,Irish Derby,Curragh,G1,1m 4f,Redskin,F Wynne,D Broderick,
Germany,1877,Deutsches Derby,Hamburg,G1,1m 4f,Pirat,E Fisk,Charles Hayhoe,
Germany,1877,Preis der Diana,Düsseldorf,Listed,1m 3f,Chere Amie,Tom Busby,,
Germany,1877,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Kincsem,Elijah Madden,Robert Hesp,
Germany,1877,Union-Rennen,Grunewald,G2,1m 3f,Zützen,Little,Charles Hayhoe,
Republic of Ireland,1878,Irish Derby,Curragh,G1,1m 4f,Madame Dubarry,F Wynne,F Martin,
Germany,1878,Deutsches Derby,Hamburg,G1,1m 4f,Oroszvar,Tom Busby,James Waugh Snr,
Germany,1878,Preis der Diana,Düsseldorf,Listed,1m 3f,Altona,Elijah Madden,,
Germany,1878,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Kincsem ,Elijah Madden,Robert Hesp,
Germany,1878,Union-Rennen,Grunewald,G2,1m 3f,Oroszvar,Tom Busby,James Waugh Snr,
Republic of Ireland,1879,Irish Derby,Curragh,G1,1m 4f,Soulouque,J Connolly,T Connolly,
Germany,1879,Deutsches Derby,Hamburg,G1,1m 4f,Künstlerin,Elijah Madden,Charles Hayhoe,
Germany,1879,Preis der Diana,Düsseldorf,G3,1m 3f,Illona,Entwhistle,Richard Waugh,
Germany,1879,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Kincsem,Tom Busby,Robert Hesp,
Germany,1879,Union-Rennen,Grunewald,G2,1m 3f,Picklock,Tom Busby,James Waugh Snr,
Republic of Ireland,1880,Irish Derby,Curragh,G1,1m 4f,King Of The Bees,F Wynne,D Broderick,
Germany,1880,Deutsches Derby,Hamburg,G1,1m 4f,Gamiani,T Osborne,Robert Hesp,
Germany,1880,Preis der Diana,Düsseldorf,G2,1m 3f,Mereny,T Osborne,,
Germany,1880,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Tallos,Metcalf,,
Germany,1880,Union-Rennen,Grunewald,G2,1m 3f,Mereny,T Osborne,,
Germany,1880,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Kaleb,Butters,,
Republic of Ireland,1881,Irish Derby,Curragh,G1,1m 4f,Master Ned,T Broderick,P Doucie,
Germany,1881,Deutsches Derby,Hamburg,G1,1m 4f,Cäsar,J Gough,William Arnull,
Germany,1881,Preis der Diana,Düsseldorf,G2,1m 3f,Dombrowa,Tom Busby,J Reeves,
Germany,1881,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,La Gondola,Peasnall,,
Germany,1881,Union-Rennen,Grunewald,G2,1m 3f,Orient,Elijah Madden,T Osborne,
Germany,1881,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Wildschütz,Sopp,G Sayers,
Republic of Ireland,1882,Irish Derby,Curragh,G1,1m 4f,Sortie,N Behan,P Doucie,
Germany,1882,Deutsches Derby,Hamburg,G1,1m 4f,Taurus,Metcalf,,
Germany,1882,Deutsches Derby,Hamburg,G1,1m 4f,Trachenberg,John Watts,James Cooter,
Germany,1882,Preis der Diana,Düsseldorf,G2,1m 3f,Flaminia,Gough,Charles Hayhoe,
Germany,1882,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Lehetetlen,Smart,W Beeson,
Germany,1882,Union-Rennen,Grunewald,G2,1m 3f,Taurus,Metcalf,T Osborne,
Germany,1882,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Tittle Tattle,R Coates,Joseph Butters,
Republic of Ireland,1883,Irish Derby,Curragh,G1,1m 4f,Sylph,J Connolly,James Dunne,
Germany,1883,Deutsches Derby,Hamburg,G1,1m 4f,Tartar,Tom Busby,Joseph Reeves,
Germany,1883,Preis der Diana,Düsseldorf,G2,1m 3f,Glocke,H Jeffery,Richard Waugh,
Germany,1883,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Brocken,Tom Busby,George Johnson,
Germany,1883,Union-Rennen,Grunewald,G2,1m 3f,Tartar,Tom Busby,J Reeves,
Germany,1883,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Maria,Sopp,Johnny Daley,
Republic of Ireland,1884,Irish Derby,Curragh,G1,1m 4f,Theologian,J Connolly,W Behan,
Germany,1884,Deutsches Derby,Hamburg,G1,1m 4f,Stronzian,Greaves,W Beedon,
Germany,1884,Preis der Diana,Düsseldorf,G2,1m 3f,Gabernie,J Grimshaw,J Reeves,
Germany,1884,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Florence,Fred Webb,R Sherwood,
Germany,1884,Union-Rennen,Grunewald,G2,1m 3f,Czimer,G Sear,R Smart,
Germany,1884,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Cambus,James Grimshaw,Joseph Reeves,
Republic of Ireland,1885,Irish Derby,Curragh,G1,1m 4f,St Kevin,H Saunders,James Dunne,
Germany,1885,Deutsches Derby,Hamburg,G1,1m 4f,Budagyöngye,Robert Smart,Robert Hesp,
Germany,1885,Preis der Diana,Düsseldorf,G2,1m 3f,Hildburg,H Jeffery,Richard Waugh,
Germany,1885,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Plaisanterie,Bundy,,
Germany,1885,Union-Rennen,Grunewald,G2,1m 3f,Italy,Bell,,
Germany,1885,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Triftig,Barton,,
Republic of Ireland,1886,Irish Derby,Curragh,G1,1m 4f,Theodemir,J Connolly,G Moore,
Germany,1886,Deutsches Derby,Hamburg,G1,1m 4f,Potrimpos,Tom Busby,Richard Waugh,
Germany,1886,Preis der Diana,Düsseldorf,G2,1m 3f,Matutina,Sopp,,
Germany,1886,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Nero,H Jeffery,,
Germany,1886,Union-Rennen,Grunewald,G2,1m 3f,Fenek,Tom Busby,William Waugh,
Germany,1886,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Dictator,Sopp,,
Republic of Ireland,1887,Irish Derby,Curragh,G1,1m 4f,Pet Fox,T Kavanagh,H E Linde,
Germany,1887,Deutsches Derby,Hamburg,G1,1m 4f,Zsupan,D Goodway,Joseph Butters,
Germany,1887,Preis der Diana,Düsseldorf,G2,1m 3f,Närrin,Ch Ballantine,Richard Waugh,
Germany,1887,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Bulgar,George Sopp,Wilie Waugh,
Germany,1887,Union-Rennen,Grunewald,G2,1m 3f,Bulgar,Tom Busby,William Waugh,
Germany,1887,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Lucretia,Frank Sharpe,James Cooter,
Republic of Ireland,1888,Irish Derby,Curragh,G1,1m 4f,Theodolite,W Warne,G Moore,
Germany,1888,Deutsches Derby,Hamburg,G1,1m 4f,Tegetthoff,F Rossiter,John Reeves,
Germany,1888,Preis der Diana,Düsseldorf,G2,1m 3f,Herzdame,Sopp,James Cooter,
Germany,1888,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Durchgänger,G Sear,George Johnson,
Germany,1888,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Waverley,Madge,John Cunnington Snr,
Germany,1888,Union-Rennen,Grunewald,G2,1m 3f,Burgwart,Frank Sharpe,Richard Waugh,
Germany,1888,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Wallfahrt,Charles Ballantine,Richard Waugh,
Republic of Ireland,1889,Irish Derby,Curragh,G1,1m 4f,Tragedy,Mr T Beasley,T G Gordon,
Germany,1889,Deutsches Derby,Hamburg,G1,1m 4f,Uram Batyam,Robert Smart,Robert Smart,
Germany,1889,Preis der Diana,Düsseldorf,G2,1m 3f,Eintracht,H Jeffery,James Cooter,
Germany,1889,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Freimaurer,H Jeffery,James Cooter,
Germany,1889,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Tantale,R Hartley,Charles Pratt,
Germany,1889,Union-Rennen,Grunewald,G2,1m 3f,Aba,W Smith,H Milne,
Germany,1889,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Fledermaus,Barton,Richard Waugh,
Republic of Ireland,1890,Irish Derby,Curragh,G1,1m 4f,Kentish Fire,M Dawson,R Meredith,
Germany,1890,Deutsches Derby,Hamburg,G1,1m 4f,Dalberg,George Sopp,Johnny Daley,
Germany,1890,Bayerisches Zuchtrennen,Munich,G3,1m 2f,Bettelliese,Wilton,G Long Snr,
Germany,1890,Preis der Diana,Düsseldorf,G2,1m 3f,Glöcknerin,Ch Ballantine,Richard Waugh,
Germany,1890,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Dalberg,Sopp,Johnny Daley,
Germany,1890,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Yellow,R Hartley,Charles Pratt,
Germany,1890,Union-Rennen,Grunewald,G2,1m 3f,Dalberg,Sopp,J Daley,
Germany,1890,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Barde,Frank Sharpe,H Marsh,
Republic of Ireland,1891,Irish Derby,Curragh,G1,1m 4f,Narraghmore,Mr T Beasley,C Archer,
Germany,1891,Deutsches Derby,Hamburg,G1,1m 4f,Peter,Charles Ballantine,Richard Waugh,
Germany,1891,Preis der Diana,Düsseldorf,G2,1m 3f,Zenobia,Sopp,J Daley,
Germany,1891,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Hawk,Saunders,W Deans,
Germany,1891,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Le Capricorne,Madge,Fred Webb,
Germany,1891,Union-Rennen,Grunewald,G2,1m 3f,Alnok,W Smith,H Milne,
Germany,1891,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Tambour-Major,Frank Sharpe,Johnny Daley,
Republic of Ireland,1892,Irish Derby,Curragh,G1,1m 4f,Roy Neil,M Dawson,R Meredith,
Germany,1892,Deutsches Derby,Hamburg,G1,1m 4f,Espoir,Fred Webb,Herbert Reeves,
Germany,1892,Preis der Diana,Düsseldorf,G2,1m 3f,Forelle,Charles Ballantine,Richard Waugh,
Germany,1892,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Dorn,Frank Sharpe,,
Germany,1892,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Perdican,R Hartley,,
Germany,1892,Union-Rennen,Grunewald,G2,1m 3f,Dorn,Frank Sharpe,,
Germany,1892,Hansa-Preis,Hamburg,G2,1m 4f,Nickel,H Barker,George Johnson,
Germany,1892,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Nora,Frank Sharpe,,
Republic of Ireland,1893,Irish Derby,Curragh,G1,1m 4f,Bowline,M Dawson,R Meredith,
Germany,1893,Deutsches Derby,Hamburg,G1,1m 4f,Geier,Charles Ballantine,Richard Waugh,
Germany,1893,Deutsches Derby,Hamburg,G1,1m 4f,Hardenberg,Charles Bowman,G Sear,
Germany,1893,Preis der Diana,Düsseldorf,G2,1m 3f,Ilse,W Smith,W Deans,
Germany,1893,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Hardenberg,C Rawlinson,G Sear,
Germany,1893,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Nickel,W Smith,,
Germany,1893,Union-Rennen,Grunewald,G2,1m 3f,Geier,Charles Ballantine,Richard Waugh,
Germany,1893,Hansa-Preis,Hamburg,G2,1m 4f,Dorn,Frank Sharpe,J Toon,
Germany,1893,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Ilse,W Smith,W Deans,
Republic of Ireland,1894,Irish Derby,Curragh,G1,1m 4f,Blairfinde,W T Garrett,S Darling,
Germany,1894,Deutsches Derby,Hamburg,G1,1m 4f,Sperber,E Martin,W Deans,
Germany,1894,Preis der Diana,Düsseldorf,G2,1m 3f,Migräne,R Robinson,,
Germany,1894,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Ausmärker,H Barker,,
Germany,1894,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Ilse,E Martin,,
Germany,1894,Union-Rennen,Grunewald,G2,1m 3f,Adonis,W Smith,,
Germany,1894,Hansa-Preis,Hamburg,G2,1m 4f,Alconbury,Frank Sharpe,,
Germany,1894,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Königskrone,E Martin,Johnny Daley,
Republic of Ireland,1895,Irish Derby,Curragh,G1,1m 4f,Portmarnock,W Clayton,S Jeffrey,
Republic of Ireland,1895,Irish Oaks,Curragh,G1,1m 4f,Sapling,J Wynne,James Dunne,
Germany,1895,Deutsches Derby,Hamburg,G1,1m 4f,Impuls,Tom Busby,George Johnson,
Germany,1895,Preis der Diana,Düsseldorf,G2,1m 3f,Waschfrau,R Hartley,Richard Waugh,
Germany,1895,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Hannibal,Frank Sharpe,Johnny Daley,
Germany,1895,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Armbruster,Frank Sharpe,Johnny Daley,
Germany,1895,Union-Rennen,Grunewald,G2,1m 3f,Impuls,Tom Busby,G Johnson,
Germany,1895,Hansa-Preis,Hamburg,G2,1m 4f,Hannibal,E Martin,J Daley,
Germany,1895,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Armbruster,E Martin,Johnny Daley,
Republic of Ireland,1896,Irish Derby,Curragh,G1,1m 4f,Gulsalberk,Alf Aylin,S Jeffrey,
Republic of Ireland,1896,Irish Oaks,Curragh,G1,1m 4f,Kosmos,John Doyle,W P Cullen,
Germany,1896,Deutsches Derby,Hamburg,G1,1m 4f,Trollhetta,Tom Busby,George Johnson,
Germany,1896,Preis der Diana,Düsseldorf,G2,1m 3f,Seemärchen,R Robinson,A Beeson,
Germany,1896,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Rondinelli,E Martin,Johnny Daley,
Germany,1896,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Tokio,Frank Sharpe,,
Germany,1896,Union-Rennen,Grunewald,G2,1m 3f,Rondinelli,E Martin,J Daley,
Germany,1896,Hansa-Preis,Hamburg,G2,1m 4f,Trollhetta,Tom Busby,George Johnson,
Germany,1896,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Armbruster,E Martin,Johnny Daley,
Republic of Ireland,1897,Irish Derby,Curragh,G1,1m 4f,Wales,T Fiely,W P Cullen,
Republic of Ireland,1897,Irish Oaks,Curragh,G1,1m 4f,Dabchick,Alf Aylin,S Jeffrey,
Germany,1897,Deutsches Derby,Hamburg,G1,1m 4f,Flunkermichel,H Jones,J Hatton,
Germany,1897,Preis der Diana,Düsseldorf,G2,1m 3f,Pfaueninsel,Ch Ballantine,Richard Waugh,
Germany,1897,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Tokio,Frank Sharpe,,
Germany,1897,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,En Bloc,W Smith,,
Germany,1897,Union-Rennen,Grunewald,G2,1m 3f,Destillateur,Frank Sharpe,,
Germany,1897,Hansa-Preis,Hamburg,G2,1m 4f,Flunkermichel,W Jones,J Hatton,
Germany,1897,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Geranium,E Martin,Johnny Daley,
Republic of Ireland,1898,Irish Derby,Curragh,G1,1m 4f,Noble Howard,T Moran,R Exshaw,
Republic of Ireland,1898,Irish Oaks,Curragh,G1,1m 4f,Sabine Queen,T Doyle,T Doyle,
Germany,1898,Deutsches Derby,Hamburg,G1,1m 4f,Habenichts,Edward,Richard Waugh,
Germany,1898,Preis der Diana,Düsseldorf,G2,1m 3f,Gudrun,W Jones,,
Germany,1898,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Magister,Charles Ballantine,,
Germany,1898,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Sperber's Bruder,,,
Germany,1898,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Slusohr,W Jones,,
Germany,1898,Union-Rennen,Grunewald,G2,1m 3f,Vollmond,Charles Ballantine,Richard Waugh,
Germany,1898,Hansa-Preis,Hamburg,G2,1m 4f,Slusohr,Tom Busby,George Johnson,
Germany,1898,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Nicosia,W Jones,George Johnson,
Republic of Ireland,1899,Irish Derby,Curragh,G1,1m 4f,Opressor,Algernon Anthony,S Jeffrey,
Republic of Ireland,1899,Irish Oaks,Curragh,G1,1m 4f,Irish Ivy,T Almack,W Behan,
Germany,1899,Deutsches Derby,Hamburg,G1,1m 4f,Galifard,G Hyams,Joseph Butters,
Germany,1899,Preis der Diana,Düsseldorf,G2,1m 3f,Hut Ab,F Peake,A Beeson,
Germany,1899,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Namouna,Sopp,Fritz Althof,
Germany,1899,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Gobseck,F Fearis,,
Germany,1899,Union-Rennen,Grunewald,G2,1m 3f,Gastfreund,Charles Ballantine,Richard Waugh,
Germany,1899,Hansa-Preis,Hamburg,G2,1m 4f,Slusohr,Tom Busby,George Johnson,
Germany,1899,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Gobseck,F Fearis,,
Republic of Ireland,1900,Irish Derby,Curragh,G1,1m 4f,Gallinaria,Mr G Lushinton,D McNally,
Republic of Ireland,1900,Irish Oaks,Curragh,G1,1m 4f,May Race,Algernon Anthony,D McNally,
Germany,1900,Deutsches Derby,Hamburg,G1,1m 4f,Hagen,H Ibbett,A Beeson,
Germany,1900,Bayerisches Zuchtrennen,Munich,G3,1m 2f,Heribert,Albert Schlaefke,,
Germany,1900,Bayerisches Zuchtrennen,Munich,G3,1m 2f,Minnesänger,,,
Germany,1900,Preis der Diana,Düsseldorf,G2,1m 3f,Ordonnanz,R Utting,H Brown Jnr,
Germany,1900,Grosser Preis von Berlin,Hoppegarten,G1,1m 4f,Xamete,Willy Warne,Herb Brown Snr,
Germany,1900,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Xamete,Willy Warne,,
Germany,1900,Union-Rennen,Grunewald,G2,1m 3f,Pomp,Charles Ballantine,Richard Waugh,
Germany,1900,Hansa-Preis,Hamburg,G2,1m 4f,Over Norton,E Martin,Carl Seibert Snr,
Germany,1900,Furstenberg-Rennen,Baden-Baden,G3,1m 3f,Winfried,Willy Warne,Charles Planner Jnr,
