match_id,team1,team2,venue,city,country,toss_winner,toss_elected,year
543,,,Saurashtra Cricket Association Stadium,Rajkot,India,England,"England, who chose to bat",1975
544,,,Nehru Stadium,Kochi,India,India,"India, who chose to bat",1975
545,,,HEC International Cricket Stadium Complex,Ranchi,India,India,"India, who chose to bowl",1975
546,,,IS Bindra Stadium,Mohali,India,India,"India, who chose to bowl",1975
547,,,HPCA Stadium,Dharamsala,India,England,"England, who chose to field",1975
552,,,M. A. Chidambaram Stadium,Chennai,India,Pakistan,"Pakistan, who chose to field",1975
553,,,Eden Gardens,Kolkata,India,India,"India, who chose to field",1975
554,,,Arun Jaitley Stadium,Delhi,India,India,"India, who chose to bat",1975
598,,,Melbourne Cricket Ground,Melbourne,Australia,Australia,"Australia, who chose to bat",1975
599,,,Adelaide Oval,Adelaide,Australia,Sri Lanka,"Sri Lanka, who chose to bowl",1975
600,,,The Gabba,Brisbane,Australia,Australia,"Australia, who chose to bat",1975
601,,,Sydney Cricket Ground,Sydney,Australia,Australia,"Australia, who chose to bat",1975
602,,,Bellerive Oval,Hobart,Australia,Sri Lanka,"Sri Lanka, who chose to field",1975
613,,,Boland Park,Paarl,South Africa,,,1975
615,,,JB Marks Oval,Potchefstroom,South Africa,,,1975
733,,,WACA,Perth,Australia,West Indies,"West Indies, who chose to bat",1975
734,,,WACA,Perth,Australia,West Indies,"West Indies, who chose to bowl",1975
735,,,Manuka Oval,Canberra,Australia,Australia,"Australia, who chose to bat",1975
736,,,Sydney Cricket Ground,Sydney,Australia,West Indies,"West Indies, who chose to bat",1979
737,,,Melbourne Cricket Ground,Melbourne,Australia,West Indies,"West Indies, who chose to field",1979
749,,,Mangaung Oval,Bloemfontein,South Africa,,,1979
750,,,Supersport Park,Centurion,South Africa,,,1979
751,,,New Wanderers Stadium,Johannesburg,South Africa,,,1979
752,,,Kingsmead,Durban,South Africa,,,1979
755,,,National Cricket Stadium,St George's,West Indies,,,1979
756,,,National Cricket Stadium,St George's,West Indies,,,1979
757,,,National Cricket Stadium,St George's,West Indies,,,1979
763,,,Cardiff Wales Stadium,Cardiff,Wales,South Africa ,"South Africa, who chose to field",1979
764,,,The Oval,London,England,West Indies,"West Indies, who chose to field",1979
765,,,Edgbaston,Birmingham,England,England,"England, who chose to bat",1979
766,,,Cardiff Wales Stadium,Cardiff,Wales,Sri Lanka,"Sri Lanka, who chose to bat",1979
767,,,Edgbaston,Birmingham,England,South Africa,"South Africa, who chose to bat",1979
768,,,The Oval,London,England,India,"India, who chose to field",1979
769,,,Edgbaston,Birmingham,England,Australia,"Australia, who chose to bat",1983
770,,,The Oval,London,England,Sri Lanka,"Sri Lanka, who chose to field",1983
771,,,Cardiff Wales Stadium,Cardiff,Wales,West Indies ,"West Indies, who chose to field",1983
772,,,Edgbaston,Birmingham,England,India,"India, who chose to field",1983
773,,,Cardiff Wales Stadium,Cardiff,Wales,New Zealand,"New Zealand, who chose to field",1983
774,,,The Oval,London,England,Australia,"Australia, who chose to field",1983
775,,,The Oval,London,England,England,"England, who chose to field",1983
776,,,Cardiff Wales Stadium,Cardiff,Wales,India,"India, who chose to field",1983
777,,,Edgbaston,Birmingham,England,England,"England, who chose to field",1983
786,,,Headingley,Leeds,England,,,1983
787,,,Old Trafford,Manchester,England,England,"England, who chose to field",1983
788,,,Edgbaston,Birmingham,England,Australia,"Australia, who chose to field",1983
789,,,Cardiff Wales Stadium,Cardiff,Wales,England,"England, who chose to field",1983
790,,,The Ageas Bowl,Southampton,England,Australia,"Australia, who chose to bat",1983
794,,,Lord's,London,England,New Zealand,"New Zealand, who chose to field",1983
795,,,The Ageas Bowl,Southampton,England,New Zealand,"New Zealand, who chose to bat",1983
796,,,Trent Bridge,Nottingham,England,New Zealand,"New Zealand, who chose to field",1983
800,,,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",1983
801,,,Queens Sports Club,Bulawayo,Zimbabwe,,,1983
802,,,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",1983
809,,,Clontarf Cricket Club Ground,Dublin,Ireland,,,1983
810,,,Clontarf Cricket Club Ground,Dublin,Ireland,,,1983
812,,,VRA Cricket Ground,Amstelveen,Netherlands,,,1983
814,,,Sabina Park,Kingston,West Indies,West Indies,"West Indies, who chose to field",1983
815,,,Sabina Park,Kingston,West Indies,West Indies,"West Indies, who chose to field",1983
816,,,Sabina Park,Kingston,West Indies,India,"India, who chose to field",1983
817,,,Queen's Park Oval,Port of Spain,West Indies,West Indies,"West Indies, who chose to field",1983
818,,,Queen's Park Oval,Port of Spain,West Indies,West Indies,"West Indies, who chose to field",1987
819,,,Queen's Park Oval,Port of Spain,West Indies,Sri Lanka,"Sri Lanka, who chose to field",1987
820,,,Queen's Park Oval,Port of Spain,West Indies,India,"India, who chose to field",1987
822,,,Grange Cricket Club Ground,Edinburgh,Scotland,,,1987
824,,,Anglesea Road,Dublin,Ireland,,,1987
833,,,R Premadasa Stadium,Colombo,Sri Lanka,South Africa,"South Africa, who chose to field",1987
834,,,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",1987
835,,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,South Africa,"South Africa, who chose to bat",1987
836,,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,South Africa,"South Africa,  who chose to bat",1987
837,,,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",1987
842,,,Harare Sports Club,Harare,Zimbabwe,India,"India, who chose to field",1987
843,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",1987
844,,,Harare Sports Club,Harare,Zimbabwe,India,"India, who chose to field",1987
845,,,Queens Sports Club,Bulawayo,Zimbabwe,India,"India, who chose to field",1987
846,,,Queens Sports Club,Bulawayo,Zimbabwe,India,"India, who chose to field",1987
850,,,VRA Cricket Ground,Amstelveen,Netherlands,Ireland,"Ireland, who chose to bat",1987
