match_id,team1,team2,venue,city,country,toss_winner,toss_elected,year
851,,,VRA Cricket Ground,Amstelveen,Netherlands,Ireland,"Ireland, who chose to bat",1987
883,,,Hagley Oval,Christchurch,New Zealand,Sri Lanka,"Sri Lanka, who chose to field",1987
884,,,Melbourne Cricket Ground,Melbourne,Australia,England ,"England, who chose to field",1987
885,,,Seddon Park,Hamilton,New Zealand,Zimbabwe,"Zimbabwe, who chose to field",1987
886,,,Adelaide Oval,Adelaide,Australia,India,"India, who chose to bat",1987
887,,,Saxton Oval,Nelson,New Zealand,Ireland,"Ireland, who chose to field",1987
888,,,University Oval,Dunedin,New Zealand,New Zealand,"New Zealand, who chose to field",1987
889,,,Manuka Oval,Canberra,Australia,Bangladesh,"Bangladesh, who chose to bat",1987
890,,,Saxton Oval,Nelson,New Zealand,Zimbabwe,"Zimbabwe, who chose to field",1987
891,,,Wellington Regional Stadium,Wellington,New Zealand,England,"England, who chose to bat",1987
892,,,Hagley Oval,Christchurch,New Zealand,Pakistan,"Pakistan, who chose to field",1987
893,,,The Gabba,Brisbane,Australia,,,1992
894,,,University Oval,Dunedin,New Zealand,Sri Lanka,"Sri Lanka, who chose to field",1992
895,,,Melbourne Cricket Ground,Melbourne,Australia,India,"India, who chose to bat",1992
896,,,Hagley Oval,Christchurch,New Zealand,Scotland,"Scotland, who chose to field",1992
897,,,Manuka Oval,Canberra,Australia,West Indies,"West Indies, who chose to bat",1992
898,,,The Gabba,Brisbane,Australia,Ireland,"Ireland, who chose to field",1992
899,,,University Oval,Dunedin,New Zealand,Afghanistan,"Afghanistan, who chose to field",1992
900,,,Melbourne Cricket Ground,Melbourne,Australia,Sri Lanka,"Sri Lanka, who chose to bat",1992
901,,,Sydney Cricket Ground,Sydney,Australia,South Africa,"South Africa, who chose to bat",1992
902,,,Eden Park,Auckland,New Zealand,Australia,"Australia, who chose to bat",1992
903,,,WACA,Perth,Australia,UAE,"UAE, who chose to bat",1992
904,,,Wellington Regional Stadium,Wellington,New Zealand,England,"England, who chose to bat",1992
905,,,The Gabba,Brisbane,Australia,Pakistan,"Pakistan, who chose to bat",1992
906,,,Manuka Oval,Canberra,Australia,South Africa,"South Africa, who chose to bat",1992
907,,,McLean Park,Napier,New Zealand,UAE,"UAE, who chose to field",1992
908,,,WACA,Perth,Australia,Afghanistan,"Afghanistan, who chose to field",1992
909,,,Saxton Oval,Nelson,New Zealand,Bangladesh,"Bangladesh, who chose to field",1992
910,,,WACA,Perth,Australia,West Indies,"West Indies, who chose to bat",1992
911,,,Eden Park,Auckland,New Zealand,South Africa,South Africa win the toss and field,1992
912,,,Bellerive Oval,Hobart,Australia,Zimbabwe,"Zimbabwe, who chose to field",1992
913,,,McLean Park,Napier,New Zealand,Afghanistan,"Afghanistan, who chose to bat",1992
914,,,Sydney Cricket Ground,Sydney,Australia,Australia,"Australia, who chose to bat",1992
915,,,Adelaide Oval,Adelaide,Australia,England,"England, who chose to field",1992
916,,,Seddon Park,Hamilton,New Zealand,Ireland,"Ireland, who chose to bat",1992
917,,,Bellerive Oval,Hobart,Australia,Sri Lanka,"Sri Lanka, who chose to bat",1992
918,,,Wellington Regional Stadium,Wellington,New Zealand,UAE,"UAE, who chose to field",1992
919,,,Seddon Park,Hamilton,New Zealand,New Zealand,"New Zealand, who chose to field",1992
920,,,Sydney Cricket Ground,Sydney,Australia,England,"England, who chose to field",1992
921,,,Eden Park,Auckland,New Zealand,India,"India, who chose to field",1992
922,,,Bellerive Oval,Hobart,Australia,Australia,"Australia, who chose to field",1992
923,,,McLean Park,Napier,New Zealand,West Indies,"West Indies, who chose to field",1992
924,,,Adelaide Oval,Adelaide,Australia,Ireland,"Ireland, who chose to bat",1992
925,,,Sydney Cricket Ground,Sydney,Australia,Sri Lanka,"Sri Lanka, who chose to bat",1992
926,,,Melbourne Cricket Ground,Melbourne,Australia,India,"India, who chose to bat",1992
927,,,Adelaide Oval,Adelaide,Australia,Pakistan,"Pakistan, who chose to bat",1992
928,,,Wellington Regional Stadium,Wellington,New Zealand,New Zealand,"New Zealand, who chose to bat",1992
929,,,Eden Park,Auckland,New Zealand,South Africa,"South Africa, who chose to bat",1992
930,,,Sydney Cricket Ground,Sydney,Australia,Australia,"Australia, who chose to bat",1992
931,,,Melbourne Cricket Ground,Melbourne,Australia,New Zealand,"New Zealand, who chose to bat",1992
933,,,Providence Stadium,Providence,West Indies,West Indies,"West Indies, who chose to field",1996
934,,,Providence Stadium,Providence,West Indies,Pakistan,"Pakistan, who chose to field",1996
935,,,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,West Indies,"West Indies, who chose to field",1996
936,,,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,Pakistan,"Pakistan, who chose to field",1996
937,,,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,Pakistan,"Pakistan, who chose to field",1996
943,,,Maharashtra Cricket Association's International Stadium,Pune,India,Australia,"Australia, who chose to bat",1996
944,,,Sawai Mansingh Stadium,Jaipur,India,Australia,"Australia, who chose to bat",1996
945,,,IS Bindra Stadium,Mohali,India,Australia,"Australia, who chose to field",1996
946,,,HEC International Cricket Stadium Complex,Ranchi,India,India,"India, who chose to field",1996
947,,,Barabati Stadium,Cuttack,India,,,1996
948,,,Vidarbha Cricket Association Stadium,Nagpur,India,India,"India, who chose to field",1996
949,,,M. Chinnaswamy Stadium,Bengaluru,India,Australia ,"Australia, who chose to field",1996
957,,,Melbourne Cricket Ground,Melbourne,Australia,England,"England, who chose to bat",1996
958,,,The Gabba,Brisbane,Australia,England,"England, who chose to bat",1996
959,,,Sydney Cricket Ground,Sydney,Australia,England,"England, who chose to bat",1996
960,,,WACA,Perth,Australia,Australia,"Australia, who chose to field",1996
961,,,Adelaide Oval,Adelaide,Australia,Australia,"Australia, who chose to bat",1996
966,,,New Wanderers Stadium,Johannesburg,South Africa,India,"India, who chose to field",1996
967,,,Kingsmead,Durban,South Africa,India,"India, who chose to field",1996
968,,,Supersport Park,Centurion,South Africa,South Africa,"South Africa, who chose to bat",1996
988,,,Sharjah Cricket Stadium,Sharjah,UAE,South Africa,"South Africa, who chose to bat",1996
989,,,Dubai International Stadium,Dubai,UAE,Pakistan,"Pakistan, who chose to bat",1996
990,,,Zayed Cricket Stadium,Abu Dhabi,UAE,South Africa,"South Africa, who chose to bat",1996
991,,,Zayed Cricket Stadium,Abu Dhabi,UAE,South Africa,"South Africa, who chose to bat",1996
992,,,Sharjah Cricket Stadium,Sharjah,UAE,South Africa,"South Africa, who chose to bat",1996
1067,,,Harare Sports Club,Harare,Zimbabwe,Pakistan,"Pakistan, who chose to bat",1996
1068,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",1996
1069,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",1996
1075,,,Sharjah Cricket Stadium,Sharjah,UAE,Pakistan,"Pakistan, who chose to bat",1996
1076,,,Dubai International Stadium,Dubai,UAE,Sri Lanka,"Sri Lanka, who chose to field",1996
1077,,,Sharjah Cricket Stadium,Sharjah,UAE,Sri Lanka,"Sri Lanka, who chose to field",1996
1078,,,Zayed Cricket Stadium,Abu Dhabi,UAE,Sri Lanka,"Sri Lanka, who chose to bat",1996
1079,,,Zayed Cricket Stadium,Abu Dhabi,UAE,Pakistan,"Pakistan, who chose to bat",1996
1088,,,Eden Park,Auckland,New Zealand,West Indies,"West Indies, who chose to field",1996
1089,,,McLean Park,Napier,New Zealand,,,1996
1090,,,John Davies Oval,Queenstown,New Zealand,West Indies,"West Indies, who chose to field",1996
1091,,,Saxton Oval,Nelson,New Zealand,New Zealand,"New Zealand, who chose to bat",1996
1092,,,Seddon Park,Hamilton,New Zealand,New Zealand,"New Zealand, who chose to field",1999
1110,,,Sir Vivian Richards Stadium,North Sound,West Indies,England,"England, who chose to field",1999
1111,,,Sir Vivian Richards Stadium,North Sound,West Indies,England,"England, who chose to field",1999
1112,,,Sir Vivian Richards Stadium,North Sound,West Indies,West Indies,"West Indies, who chose to field",1999
1225,,,McLean Park,Napier,New Zealand,India,"India, who chooses to field",1999
1226,,,Seddon Park,Hamilton,New Zealand,India,"India, who chose to field",1999
1227,,,Eden Park,Auckland,New Zealand,India,"India, who chose to field",1999
1228,,,Seddon Park,Hamilton,New Zealand,India,"India, who chose to bat",1999
1229,,,Westpac Stadium,Wellington,New Zealand,India,"India, who chose to field",1999
1235,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,New Zealand,"New Zealand, who chose to field",1999
1236,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",1999
1237,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,Bangladesh,"Bangladesh, who chose to field",1999
1240,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,New Zealand,"New Zealand, who chose to field",1999
1241,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",1999
1242,,,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,New Zealand,"New Zealand, who chose to field",1999
1251,,,Nehru Stadium,Kochi,India,West Indies,"West Indies, who chose to bat",1999
1252,,,ACA-VDCA Stadium,Visakhapatnam,India,West Indies,"West Indies, who chose to field",1999
1253,,,Green Park,Kanpur,India,India,"India, who chose to field",1999
1345,,,Newlands,Cape Town,South Africa,Pakistan,"Pakistan, who chose to bat",1999
1346,,,St George's Park,Port Elizabeth,South Africa,South Africa,"South Africa, who chose to field",1999
1347,,,Supersport Park,Centurion,South Africa,South Africa,"South Africa, who chose to field",1999
1378,,,Bert Sutcliffe Oval,Christchurch,New Zealand,,,1999
1399,,,Sylhet International Cricket Stadium,Sylhet,Bangladesh,Bangladesh,"Bangladesh, who chose to field",1999
1400,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Sri Lanka,"Sri Lanka, who chose to bat",1999
1401,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Sri Lanka,"Sri Lanka, who chose to field",1999
2351,,,Sabina Park,Kingston,West Indies,,,1999
2363,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,Sri Lanka,"Sri Lanka, who chose to bat",1999
2364,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,India,"India, who chose to field",1999
2365,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,Afghanistan,"Afghanistan, who chose to field",1999
2366,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,Sri Lanka,"Sri Lanka, who chose to field",1999
2367,,,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,Bangladesh,"Bangladesh, who chose to field",1999
2368,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Pakistan,"Pakistan, who chose to field",1999
2369,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Sri Lanka,"Sri Lanka, who chose to bat",1999
2370,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",1999
2371,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,India,"India, who chose to field",1999
2372,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",1999
2373,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Pakistan,"Pakistan, who chose to bat",1999
2485,,,Clontarf Cricket Club Ground,Dublin,Ireland,,,1999
2486,,,Clontarf Cricket Club Ground,Dublin,Ireland,,,1999
2489,,,The Oval,London ,England,Sri Lanka,"Sri Lanka, who chose to field",1999
2490,,,Emirates Riverside,Chester-le-Street,England,England,"England, who chose to field",1999
2491,,,Old Trafford,Manchester,England,England,"England, who chose to field",1999
2492,,,Lord's,London,England,England,"England, who chose to field",2003
2493,,,Edgbaston,Birmingham,England,England,"England, who chose to bat",2003
2503,,,R Premadasa Stadium,Colombo,Sri Lanka,South Africa,"South Africa, who chose to bat",2003
2504,,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",2003
2505,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,South Africa,"South Africa, who chose to bat",2003
2514,,,Bristol County Ground,Bristol,England,,,2003
2515,,,Cardiff Wales Stadium,Cardiff,Wales,England,"England, who chose to field",2003
2516,,,Trent Bridge,Nottingham,England,India,"India, who chose to field",2003
2517,,,Edgbaston,Birmingham,England,India,"India, who chose to field",2003
2518,,,Headingley,Leeds,England,India,"India, who chose to field",2003
2522,,,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",2003
2523,,,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",2003
2524,,,Queens Sports Club,Bulawayo,Zimbabwe,South Africa,"South Africa, who chose to field",2003
2526,,,National Cricket Stadium,St George's,West Indies,West Indies,"West Indies, who chose to field",2003
2527,,,National Cricket Stadium,St George's,West Indies,Bangladesh,"Bangladesh, who chose to field",2003
2528,,,Warner Park,Basseterre,West Indies,West Indies,"West Indies, who chose to bat",2003
2533,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",2003
2534,,,Harare Sports Club,Harare,Zimbabwe,South Africa,"South Africa, who chose to field",2003
2535,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe, who chose to field",2003
2536,,,Harare Sports Club,Harare,Zimbabwe,Australia,"Australia, who chose to bat",2003
2537,,,Harare Sports Club,Harare,Zimbabwe,South Africa,"South Africa, who chose to field",2003
2538,,,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,"Zimbabwe,who chose to field",2003
2539,,,Harare Sports Club,Harare,Zimbabwe,South Africa,"South Africa, who chose to field",2003
2542,,,Sharjah Cricket Stadium,Sharjah,UAE,Australia,"Australia, who chose to bat",2003
2543,,,Dubai International Stadium,Dubai,UAE,Pakistan,"Pakistan, who chose to bat",2003
2544,,,Zayed Cricket Stadium,Abu Dhabi,UAE,Australia,"Australia, who chose to bat",2003
2554,,,Kingsmead,Durban,South Africa,South Africa,"South Africa, who chose to bat",2003
2555,,,New Wanderers Stadium,Johannesburg,South Africa,West Indies,"West Indies, who chose to field",2003
2556,,,Buffalo Park,East London,South Africa,West Indies,"West Indies, who chose to bat",2003
2557,,,St George's Park,Port Elizabeth,South Africa,West Indies,"West Indies, who chose to field",2003
2558,,,Supersport Park,Centurion,South Africa,West Indies,"West Indies, who chose to field",2003
2565,,,Dubai International Stadium,Dubai,UAE,Pakistan,"Pakistan, who chose to field",2003
2566,,,Sharjah Cricket Stadium,Sharjah,UAE,Pakistan,"Pakistan, who chose to bat",2003
2567,,,Sharjah Cricket Stadium,Sharjah,UAE,Pakistan,"Pakistan, who chose to bat",2003
2568,,,Zayed Cricket Stadium,Abu Dhabi,UAE,New Zealand,"New Zealand, who chose to bat",2003
2570,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",2003
2571,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to field",2003
2572,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,India,"India, who chose to bat",2003
2576,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Pakistan,"Pakistan, who chose to field",2003
2577,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",2003
2578,,,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,Pakistan,"Pakistan, who chose to bat",2003
2599,,,R Premadasa Stadium,Colombo,Sri Lanka,England,"England, who chose to field",2003
2600,,,R Premadasa Stadium,Colombo,Sri Lanka,England,"England, who chose to bat",2003
2601,,,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",2003
2602,,,R Premadasa Stadium,Colombo,Sri Lanka,England,"England, who chose to bat",2003
2603,,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,England,"England, who chose to field",2003
2604,,,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",2003
2605,,,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,"Sri Lanka, who chose to bat",2003
2616,,,Queens Sports Club,Bulawayo,Zimbabwe,,,2003
2617,,,Queens Sports Club,Bulawayo,Zimbabwe,,,2003
2618,,,Queens Sports Club,Bulawayo,Zimbabwe,,,2003
2619,,,Queens Sports Club,Bulawayo,Zimbabwe,,,2003
2630,,,WACA,Perth,Australia,South Africa,"South Africa, who chose to field",2003
2631,,,WACA,Perth,Australia,Australia,"Australia, who chose to bat",2003
2632,,,Manuka Oval,Canberra,Australia,Australia,"Australia, who chose to bat",2007
2633,,,Melbourne Cricket Ground,Melbourne,Australia,South Africa ,"South Africa, who chose to bat",2007
2634,,,Sydney Cricket Ground,Sydney,Australia,South Africa,"South Africa, who chose to bat",2007
2636,,,Sydney Cricket Ground,Sydney,Australia,England,"England, who chose to bat",2007
2637,,,Melbourne Cricket Ground,Melbourne,Australia,India,"India, who chose to bat",2007
2638,,,The Gabba,Brisbane,Australia,India,"India, who chose to bat",2007
2639,,,Bellerive Oval,Hobart,Australia,Australia,"Australia, who chose to field",2007
2644,,,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Zimbabwe,"Zimbabwe, who chose to field",2007
2645,,,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",2007
2646,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Zimbabwe,"Zimbabwe, who chose to field",2007
2647,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Bangladesh,"Bangladesh, who chose to bat",2007
2648,,,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,Zimbabwe,"Zimbabwe, who chose to bat",2007
2679,,,Zayed Cricket Stadium,Abu Dhabi,UAE,New Zealand,"New Zealand, who chose to bat",2007
2681,,,Nehru Stadium,Kochi,India,India,"India, who chose to field",2007
2682,,,Arun Jaitley Stadium,Delhi,India,India,"India, who chose to bat",2007
2683,,,ACA-VDCA Stadium,Visakhapatnam,India,,,2007
2684,,,HPCA Stadium,Dharamsala,India,West Indies,"West Indies, who chose to field",2007
2760,,,Bay Oval,Tauranga,New Zealand,South Africa,"South Africa, who chose to field",2007
2761,,,Bay Oval,Tauranga,New Zealand,New Zealand,"New Zealand, who chose to field",2007
2762,,,Seddon Park,Hamilton,New Zealand,New Zealand,"New Zealand, who chose to field",2007
2764,,,Barabati Stadium,Cuttack,India,Sri Lanka,"Sri Lanka, who chose to field",2007
2765,,,Narendra Modi Stadium,Ahmedabad,India,Sri Lanka,"Sri Lanka, who chose to bat",2007
2766,,,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India,Sri Lanka,"Sri Lanka, who chose to bat",2007
2767,,,Eden Gardens,Kolkata,India,India,"India, who chose to bat",2007
2768,,,JSCA International Cricket Stadium,Ranchi,India,Sri Lanka,"Sri Lanka, who chose to bat",2007
2772,,,Hagley Oval,Christchurch,New Zealand,Sri Lanka,"Sri Lanka, who chose to bat",2007
2773,,,Seddon Park,Hamilton,New Zealand,New Zealand,"New Zealand, who chose to bat",2007
2774,,,Eden Park,Auckland,New Zealand,Sri Lanka,"Sri Lanka, who chose to field",2007
2775,,,Saxton Oval,Nelson,New Zealand,Sri Lanka,"Sri Lanka, who chose to bat",2007
2776,,,University Oval,Dunedin,New Zealand,Sri Lanka,"Sri Lanka, who chose to field",2007
2777,,,University Oval,Dunedin,New Zealand,New Zealand,"New Zealand, who chose to bat",2007
2778,,,Westpac Stadium,Wellington,New Zealand,Sri Lanka,"Sri Lanka, who chose to bat",2007
2782,,,Sydney Cricket Ground,Sydney,Australia,Australia,"Australia, who chose to field",2007
2783,,,WACA,Perth,Australia,England,"England, who chose to field",2007
2784,,,WACA,Perth,Australia,England,"England, who chose to field",2007
2787,,,ICC Academy,Dubai,UAE,Afghanistan,"Afghanistan, who chose to field",2007
2788,,,Dubai International Stadium,Dubai,UAE,Ireland,"Ireland, who chose to field",2007
2789,,,Dubai International Stadium,Dubai,UAE,Ireland,"Ireland, who chose to field",2007
2790,,,Zayed Cricket Stadium,Abu Dhabi,UAE,Scotland,"Scotland, who chose to bat",2007
2791,,,Dubai International Stadium,Dubai,UAE,Ireland,"Ireland, who chose to field",2007
2792,,,ICC Academy,Dubai,UAE,Ireland,"Ireland, who chose to field",2007
2803,,,Edgbaston,Birmingham,England,New Zealand,"New Zealand, who chose to field",2007
2804,,,The Oval,London ,England,New Zealand,"New Zealand, who chose to bat",2007
2805,,,The Ageas Bowl,Southampton,England,England,"England, who chose to bat",2007
2806,,,Trent Bridge,Nottingham,England,New Zealand,"New Zealand, who chose to bat",2007
2807,,,Emirates Riverside,Chester-le-Street,England,England,"England, who chose to field",2007
2813,,,Civil Service Cricket Club,Belfast,Northern Ireland,Australia,"Australia, who chose to bat",2007
2821,,,The Ageas Bowl,Southampton,England,Australia,"Australia, who chose to bat",2007
2822,,,Lord's,London,England,England,"England, who chose to field",2007
2823,,,Old Trafford,Manchester,England,England,"England, who chose to bat",2007
2824,,,Headingley,Leeds,England,Australia,"Australia, who chose to bat",2007
2825,,,Old Trafford,Manchester,England,England,"England, who chose to bat",2011
2827,,,Malahide,Dublin,Ireland,England,"England, who chose to field",2011
