Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
28/5/1988,Kingsford-Smith Cup,Doomben,Cool Report,1.3,$7.50 ,G2,Neil Williams,Jim Griffiths
28/5/1988,John D Lee Stakes,Cheltenham,Faithful Thought,0.1,$5 ,LR,Steven Jackson,Dean Taylor
28/5/1988,Belmont Guineas,Belmont,Jungle Myth,1.3,$16 ,LR,Laurie Millington,Graeme Webster
28/5/1988,Helena Vale Cup,Belmont,Fundamentalist (1981),0.5,$15 ,G3,Paul Dyson,
28/5/1988,Roma Cup,Belmont,Miss Muffet,0.2,$6 ,G3,Mark Miller,Kay Miller
2/6/1988,Takeover Target Stakes,Gosford,Classic Victory,0.8,$11 ,LR,Tracey Bartley,Max Lees
4/6/1988,Belmont Sprint,Belmont,Snowy Kitty,0.2,$8 ,G3,George Davies,K Leach
11/6/1988,Bob Charley AO Stakes,Randwick,Mother Duck,0.8,$7 ,LR,Paul Sylvester,Paul Sutherland
11/6/1988,Creswick Stakes,Flemington,Polydor,1.3,$26 ,LR,Brian Werner,Terry O'Sullivan
11/6/1988,Elders Resource Flying Handicap,Eagle Farm,Lots Of Rule,0.1,$13 ,LR,Brian York,Bruce McLachlan
11/6/1988,Persian Lyric Handicap,Eagle Farm,Zeditave,1.25,$1.17F,LR,Greg Hall,Angus Armanasco
11/6/1988,Queensland Derby,Eagle Farm,Bravery,1.3,$3.25F,G1,Jim Cassidy,Brian Mayfield-Smith
11/6/1988,Stradbroke Handicap,Eagle Farm,Campaign King,2,$5.50 ,G1,John Marshall,Bart Cummings
11/6/1988,The Q22,Eagle Farm,Lord Hybrow,2.25,$5.50 ,G2,Kevin Moses,Neville McBurney
13/6/1988,City Of Adelaide Handicap,Victoria Park,Tourello,2,$7 ,LR,Peter Shepherd,John Hall
13/6/1988,Bill Carter Stakes,Eagle Farm,Grey Fille,0.1,$1.90F,LR,Gary Willetts,Geoff Murphy
13/6/1988,Brisbane Cup,Eagle Farm,Lord Hybrow,2,$2.75F,G1,Kevin Moses,Neville McBurney
13/6/1988,J.J. Atkins,Eagle Farm,Zeditave,1.25,$2.10F,G1,Greg Hall,Angus Armanasco
13/6/1988,The Wayne Wilson,Eagle Farm,Billy Asset,1.3,$4.50F,LR,Brent Thomson,Jack Denham
