Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
1/1/1982,ATC January Cup,Randwick,Bianco Lady,1,$7 ,LR,Neville Voigt,Bob Thomsen
1/1/1982,Carrington Stakes,Randwick,Ubetido,1.3,$1.90F,LR,Wayne Harris,Brian Mayfield-Smith
1/1/1982,SAJC New Year's Gift,Morphettville,Without Peer,0.8,$5EF,LR,Alf Matthews,Colin Hayes
1/1/1982,TRC One Thousand Guineas,Hobart,Ormley Smoker,0.5,$15 ,LR,Garry Glover,
1/1/1982,Bagot Handicap,Flemington,Mironton Bay,3,$8 ,G3,Kevin Mitchell,Ray Hutchins
1/1/1982,Standish Handicap,Flemington,He's A Haze,0.1,$7 ,G3,Midge Didham,Ray Hutchins
1/1/1982,Perth Cup,Ascot,Magistrate,0.2,$4F,G1,Bob Skelton,Ian Steffart
1/1/1982,WATC Crystal Slipper Stakes,Ascot,Rare Flyer,3,$1.50F,LR,John Miller,Reg Rayment
2/1/1982,Tasmanian Stakes,Launceston,Hannekes Gentleman,0.5,$2.75 ,LR,L Lucas,Graeme McCulloch
2/1/1982,Lough Neagh Stakes,Doomben,Handsome Prince,0.2,$3.75 ,G3,Michael Pelling,Pat Duff
2/1/1982,The Gold Rush,Ascot,Latin Saint,0.3,$4 ,G3,Ian Albuino,Alan Hawke
2/1/1982,WATC R.J. Peters Stakes,Ascot,Sports Ruler,2.5,$2.40F,LR,Keith Watson,Bill Patten
9/1/1982,Imperial Stakes,Ascot,Hubon,1.3,$4.50 ,LR,Mark Sestich,
13/1/1982,Strickland Stakes,Ascot,Kiwi Bride,0.2,$6.50 ,G3,Mark Sestich,Reg Rayment
16/1/1982,Missile Stakes,Rosehill,Razor Sharp,1.8,$3.25 ,G3,Alan Scorse,Jim Johnstone
16/1/1982,Parramatta Cup,Rosehill,Powerful Prince (1977),2,$6 ,LR,Mark De Montfort,Tommy Smith
16/1/1982,BATC Cup,Doomben,Prize Lady,1.25,$11 ,LR,H Saunders,C McLelland
20/1/1982,Tasmanian Oaks,Launceston,Piquancy,1.3,$3 ,G3,Max Baker,Kel Chapman
23/1/1982,Tasmanian Derby,Hobart,Palomine,2.5,$1.30F,G3,Chris Barrett,Bruce Elkington
23/1/1982,TRC Tattersall's Plate,Hobart,Bencreato,5,$2.75 ,G3,Max Baker,Robbie Laing
27/1/1982,Elwick Stakes,Hobart,Lemon Sorbet,7,$1.30F,LR,Bill Goodwin,Cliff Fahler
27/1/1982,Hobart Cup,Hobart,Powerful Prince (1977),4,$2.75F,G3,Malcolm Johnston,Tommy Smith
30/1/1982,Challenge Stakes,Randwick,Razor Sharp,1,$3 ,G2,John Wade,Jim Johnstone
30/1/1982,Strutt Stakes,Hobart,Black Shiraz,3.5,$4 ,LR,L Lucas,
30/1/1982,Bob Hoysted Handicap,Flemington,Copperama,1.3,$4.50 ,LR,Wayne Treloar,Tommy Smith
30/1/1982,Scenic Blast Stakes,Belmont,Royal Cossack,0.3,$3.50 ,LR,S Miller,R Miller
1/2/1982,Australia Day Cup,Randwick,Bianco Lady,2.3,$2.65 ,LR,Neville Voigt,Bob Thomsen
1/2/1982,William Reid Stakes,Moonee Valley,Manikato,1.3,$1.65F,G2,Gary Willetts,Bob Hoysted
1/2/1982,WATC Australia Day Stakes,Belmont,Wool Zone (1977),1.8,$5 ,LR,Craig Wake,Allan Taylor
6/2/1982,Autumn Stakes,Sandown,Pure Of Heart,0.2,$3.25F,G3,Mick Mallyon,Colin Hayes
6/2/1982,Blue Diamond Preview (C&G),Sandown,Rancher,0.4,$1.33F,LR,Norm Waymouth,Charlie Waymouth
6/2/1982,Blue Diamond Preview (F),Sandown,Formal Invitation,0.1,$4.50F,LR,Mick Mallyon,Colin Hayes
6/2/1982,C.F. Orr Stakes,Sandown,Lawman,0.4,$3.25 ,G2,Roy Higgins,George Hanlon
6/2/1982,H.C. Nitschke Stakes,Morphettville,Lloyd's Pricilla,0.3,$1.90F,LR,John Letts,Bart Cummings
6/2/1982,R.N. Irwin Stakes,Morphettville,Galleon,3,$2.20 ,G2,Brent Thomson,Colin Hayes
6/2/1982,SAJC Breeders' Stakes,Morphettville,Lady Neelia,1,$7 ,G2,George Davies,Les Patterson
6/2/1982,ATC Cup,Canterbury,Farewell Chime,3,$2.65F,LR,John Marshall,Bart Cummings
6/2/1982,Southern Cross Stakes,Canterbury,Ubetido,0.2,$1.40F,LR,Peter Cook,Brian Mayfield-Smith
10/2/1982,Australasian Oaks,Morphettville,Rose Of Kingston,0.1,$1.90F,G1,Gary Willetts,Bob Hoysted
10/2/1982,Hawkesbury Gold Cup,Hawkesbury,Knight's Affair,0.3,$6 ,LR,Neil Campton,John Page
13/2/1982,Apollo Stakes,Randwick,Calm Joe,0.4,$5 ,G2,Malcolm Johnston,Cyril Kearns
13/2/1982,Arrowfield 3YO Sprint,Randwick,Best Western,1.3,$1.75F,G3,Larry Olsen,Bart Cummings
13/2/1982,Black Caviar Lightning,Flemington,He's A Haze,0.8,$17 ,G2,Midge Didham,Ray Hutchins
13/2/1982,Blamey Stakes,Flemington,Kip,1,$21 ,G2,Robert Heffernan,George Hanlon
13/2/1982,Spirit Of Boom Classic,Doomben,Peand,2,$9 ,LR,Gavan Duffy,Tommy Dawson
20/2/1982,Hellova Street Stakes,Launceston,Fiery Boy,0.3,$6 ,G3,Max Baker,Peter Fell
20/2/1982,Blue Diamond Prelude (C&G),Caulfield,Rancher,8,$1.50F,LR,Norm Waymouth,Charlie Waymouth
20/2/1982,Blue Diamond Prelude (F),Caulfield,Olive Branch,2.3,$8 ,LR,Brent Thomson,Colin Hayes
20/2/1982,Manfred Stakes,Caulfield,Getting Closer,0.1,$2.50F,G3,Greg Hall,Henry Davis
20/2/1982,Oakleigh Plate,Caulfield,Harpagus,0.1,$4.50F,G1,Peter Shepherd,John Hawkes
20/2/1982,Peter Young Stakes,Caulfield,Lawman,0.5,$1.80F,G2,Roy Higgins,George Hanlon
20/2/1982,Sunspeed Champion Stakes,Belmont,Rare Flyer,0.8,$2.75F,LR,John Miller,Reg Rayment
24/2/1982,Mornington Cup,Mornington,Kaysiboy,0.8,$5EF,LR,Pat Hyland,Terry Millard
24/2/1982,Launceston Cup,Launceston,Andrias,0.5,$5 ,G3,Pat Allan,Len Dixon
27/2/1982,Expressway Stakes,Warwick Farm,Trench Digger,1.8,$21 ,G2,Terry Duckett,Ray Guy
27/2/1982,Hobartville Stakes,Warwick Farm,Rare Form,2.3,$3.25 ,G2,John Duggan,Brian Mayfield-Smith
27/2/1982,Angus Armanasco Stakes,Caulfield,Rogue's Delight,0.8,$7 ,G3,Harry White,Bart Cummings
27/2/1982,Autumn Classic,Caulfield,Gurner's Lane,0.1,$17 ,LR,Mick Goreham,Geoff Murphy
27/2/1982,Blue Diamond Stakes,Caulfield,Rancher,0.5,$1.40F,G1,Norm Waymouth,Charlie Waymouth
27/2/1982,Futurity Stakes,Caulfield,Galleon,1.8,$3.25 ,G1,Brent Thomson,Colin Hayes
27/2/1982,T.S. Carlyon Cup,Caulfield,Granite King,0.2,$41 ,G2,Wayne Treloar,Tommy Smith
27/2/1982,W.J. Adams Stakes,Caulfield,Allez Bijou,0.5,$34 ,LR,Gary Willetts,Chris Honeychruch
6/3/1982,Liverpool City Cup,Warwick Farm,Kalina,1.3,21,G3,Stephen Jeffries,Mal Barnes
6/3/1982,Surround Stakes,Warwick Farm,Lost World,2.3,$16 ,G3,Ron Quinton,Len Morton
6/3/1982,Verry Elleegant Stakes,Warwick Farm,Vivacite,3.8,$1.75F,G2,Ron Quinton,Tommy Smith
6/3/1982,Frances Tressady Stakes,Flemington,Winter Flower,0.8,$6.50 ,G3,Mick Mallyon,Colin Hayes
6/3/1982,Kewney Stakes,Flemington,Voli Dream,4,$1.90F,G2,Brent Thomson,Colin Hayes
6/3/1982,Newmarket Handicap,Flemington,Razor Sharp,1.3,$11 ,G1,Dale Short,Jim Johnstone
6/3/1982,Thoroughbred Breeders' Stakes,Flemington,Torn Monarch,0.2,$6.50 ,G2,Harry White,Angus Armanasco
7/3/1982,Black Opal Stakes,Canberra,Beans,1.3,$17 ,G3,Ron Dufficy,Mal Barnes
8/3/1982,Australian Cup,Flemington,Kip,0.8,$15 ,G1,Robert Heffernan,George Hanlon
8/3/1982,Elms Handicap,Flemington,Allez Bijou,0.5,$4.50 ,LR,Gary Willetts,Chris Honeychruch
8/3/1982,Sunlight Classic,Flemington,Mighty Supremo,0.3,$3.75F,G3,Pat Hyland,Jim Moloney
8/3/1982,The Twenty Five Thousand,Flemington,Papal Bull,2.3,$7 ,LR,Brent Thomson,Colin Hayes
8/3/1982,VRC Sires Produce Stakes,Flemington,Grosvenor,4,$2.10F,G1,Peter Cook,Geoff Murphy
13/3/1982,Alister Clark Stakes,Moonee Valley,Fearless Pride,0.1,$9 ,G2,Midge Didgam,Ted Broadhurst
13/3/1982,Sunline Stakes,Moonee Valley,Lady Ice,0.5,$7 ,LR,Ricky McLeish,Bob Hoysted
13/3/1982,TTC St Leger,Launceston,Dytheus,7,$3.50 ,LR,G Cartwright,
13/3/1982,Canterbury Stakes,Canterbury,Manikato,1.5,$1.65F,G3,Gary Willetts,Bob Hoysted
13/3/1982,Randwick City Stakes,Canterbury,Bianco Lady,0.8,$2.90F,G3,Neville Voigt,Bob Thomsen
13/3/1982,Randwick Guineas,Canterbury,Rare Form,1.8,$5.50 ,G1,John Duggan,Brian Mayfield-Smith
13/3/1982,Skyline Stakes,Canterbury,Hot Opera,6.5,$1.20F,LR,Neil Paine,Albert McKenna
13/3/1982,Sweet Embrace Stakes,Canterbury,Jade Lace,0.4,$4.25 ,LR,Neil Paine,Albert McKenna
13/3/1982,Hyperion Stakes,Belmont,Bungler,0.2,$4.50 ,G3,Graham Lambie,Ted Hickling
13/3/1982,Aquanita Stakes,Ascot,Patrol Zone,1,$2.75F,LR,Mark Grigsby,R Bransby
16/3/1982,Coca-Cola Classic,Newcastle,Food For Thought,2,$6.50 ,G3,Mark De Montfort,John Franks
18/3/1982,Bunbury Cup,Bunbury,Pearl Lover,0.1,$8 ,LR,Ron Franklin,Brian Mueller
20/3/1982,Coolmore Classic,Rosehill,Sheraco,0.8,$21 ,G2,John Marshall,Bart Cummings
20/3/1982,Phar Lap Stakes,Rosehill,Calm Joe,0.2,$9 ,G2,Les Masters,Cyril Kearns
20/3/1982,Ranvet Stakes,Rosehill,Allez Bijou,1,$3 ,G1,Gary Willetts,Chris Honeychruch
20/3/1982,Reisling Stakes,Rosehill,Vaindarra,3.5,$1.20F,G3,Mick Dittman,Jack Denham
20/3/1982,Star Kingdom Stakes,Rosehill,Bold Jet,0.1,$4.25EF,LR,Gary Willetts,Ron Hoysted
20/3/1982,Todman Stakes,Rosehill,Mr McGinty,0.1,$4.50 ,G3,Robert Vance,Colin Jillings
20/3/1982,Taj Rossi Series Final,Flemington,Winter Prince,0.4,$26 ,LR,Midge Didham,George Hanlon
20/3/1982,The Andrew Ramsden,Flemington,World Vision,3,$7F,LR,Harry White,Bart Cummings
20/3/1982,Bernborough Handicap,Doomben,Harbour Rule,0.3,$8 ,LR,Gavan Duffy,Noel Doyle
20/3/1982,Belmont Guineas,Belmont,National Image,0.4,$34 ,G3,Craig Coombe,Ted Hickling
20/3/1982,Ngawyni Stakes,Belmont,Bohemian Moon,1.5,$6.50 ,LR,Peter Barnett,
22/3/1982,Illawarra Classic,Kembla Grange,Karioi Star,DH,$6.50 ,LR,John Duggan,Jack Denham
22/3/1982,Illawarra Classic,Kembla Grange,Fairy God,DH,$11 ,LR,Neville Voigt,Bill Picken
25/3/1982,Weetwood Handicap,Toowoomba,Allandale King,1.8,$6 ,LR,Keith Smith,George Reid
27/3/1982,Toowoomba Cup,Toowoomba,Odd Spot,0.8,$7 ,LR,Kevin Birse,C Richardson
27/3/1982,George Ryder Stakes,Rosehill,Pure Of Heart,4.8,$3.25EF,G1,Brent Thomson,Colin Hayes
27/3/1982,Magic Night Stakes,Rosehill,Explicit,5.5,$7 ,G3,Mick Dittman,Bart Cummings
27/3/1982,N.E. Manion Cup,Rosehill,Sean's Pride,0.8,$5 ,G3,Peter Cook,Geoff Murphy
27/3/1982,Pago Pago Stakes,Rosehill,Grosvenor,0.4,$1.55F,G3,Peter Cook,Geoff Murphy
27/3/1982,Rosehill Guineas,Rosehill,Isle Of Man,0.2,$6 ,G1,Peter Cook,Davina Waddell
27/3/1982,Tancred Stakes,Rosehill,Prince Majestic,0.8,$6.50 ,G1,Nigel Tiley,Ray Verner
27/3/1982,Morphettville Plate,Morphettville,Unrocel Aura,1.3,$2.80F,LR,Peter Shepherd,John Hawkes
27/3/1982,GCTC Golden Nugget Stakes,Gold Coast,Foreign Interest,2,$8 ,LR,Ken Russell,Lloyd Hickmott
27/3/1982,WATC Champion Fillies Stakes,Belmont,Frivolous Lass,1,$3F,G2,Jim Courtney,Colin Hayes
31/3/1982,Pinjarra Cup,Pinjarra,Silver Martian,0.1,$10 ,LR,Brendan Leunig,Vern Brockman
3/4/1982,Ajax Stakes,Rosehill,Winter's Dance,1.3,$6 ,LR,Rodney Hardwicke,Brian Mayfield-Smith
3/4/1982,Golden Slipper,Rosehill,Marscay,2,$4.50 ,G1,Ron Quinton,Jack Denham
3/4/1982,Queen Of The Turf Stakes,Rosehill,C'Est Si Bon,2.3,$11 ,LR,Rodney Hardwicke,Brian Mayfield-Smith
3/4/1982,Tulloch Stakes,Rosehill,Binbinga,0.8,$3.50 ,G2,Mick Mallyon,Royal Quan
3/4/1982,Vinery Stud Stakes,Rosehill,Sheraco,0.5,$2.25 ,G2,John Marshall,Bart Cummings
3/4/1982,Perth Stakes,Belmont,Rare Flyer,1.3,$2.40F,LR,John Miller,Reg Rayment
10/4/1982,Adrian Knox Stakes,Randwick,Queen's Road,1,$9 ,LR,Garry Murphy,Tom Hughes Snr
10/4/1982,AJC Chairman's Handicap,Randwick,Bianco Lady,0.4,$11 ,G3,Neville Voigt,Bob Thomsen
10/4/1982,ATC Sires' Produce Stakes,Randwick,Mighty Manitou,1,$201 ,G1,Wayne Harris,John Hawkes
10/4/1982,Doncaster Handicap,Randwick,My Gold Hope,3,$8 ,G1,Nigel Tilley,Ray Verner
10/4/1982,Percy Sykes Stakes,Randwick,I Like Diamonds,1,$4.50EF,LR,Ron Quinton,Neville Begg
10/4/1982,QTC Easter Cup,Eagle Farm,Keep Safe,DH,$11 ,LR,Myles Plumb,J Hook
10/4/1982,QTC Easter Cup,Eagle Farm,Chipu Street,DH,$21 ,LR,B Castles,C Castles
10/4/1982,Carbine Club OF WA Stakes,Belmont,Heron Bridge,2,$1.75F,LR,Peter Barnett,Noel Donovan
11/4/1982,Easter Cup,Caulfield,Paraparap,0.2,$9 ,G3,Chris Barrett,Ray Lawson
12/4/1982,Queen Elizabeth Stakes,Randwick,Prince Majestic,0.2,$2.40F,G1,Nigel Tiley,Ray Verner
12/4/1982,Australian Derby,Randwick,Rose Of Kingston,1.3,$4 ,G1,Gary Willetts,Bob Hoysted
12/4/1982,Fernhill Mile,Randwick,Veloso,0.5,$1.50F,LR,Ron Quinton,Neville Begg
12/4/1982,The Galaxy,Randwick,Grey Receiver,0.5,$5.50 ,G2,Neville Voigt,Bob Thomsen
12/4/1982,Victoria Handicap,Caulfield,Qubeau,1,$16 ,G3,Malcolm Pay,Robbie Laing
12/4/1982,WATC Sires' Produce Stakes,Belmont,Corona Miss,2.3,$13 ,G2,Rod Kemp,Colin Hayes
12/4/1982,WATC Easter Cup,Ascot,Gleaming Cause,0.1,$9 ,G3,John Miller,
14/4/1982,Australian Oaks,Randwick,Sheraco,1,$3.50 ,G1,John Marshall,Bart Cummings
17/4/1982,All Aged Stakes,Randwick,My Gold Hope,1,$1.90F,G1,Nigel Tilley,Ray Verner
17/4/1982,Frank Packer Plate,Randwick,Dalmacia,2.3,$2.65F,G2,Ron Quinton,Neville Begg
17/4/1982,Hall Mark Stakes,Randwick,My Evita,2.5,$3.50F,LR,Wayne Harris,Tom Hughes Snr
17/4/1982,Sydney Cup,Randwick,Azawary,2.8,$26 ,G1,Nigel Tiley,Alan Jones
17/4/1982,City Of Adelaide Handicap,Morphettville,Brechin Castle,0.8,$6.50F,LR,Jim Courtney,Colin Hayes
20/4/1982,Takeover Target Stakes,Gosford,Marquee Star,0.5,$13 ,LR,John Wade,Archie Frater
21/4/1982,Gosford Gold Cup,Gosford,My Star Sapphire,0.5,$2F,LR,Robert Thompson,Arthur Thompson
24/4/1982,AJC Champagne Stakes,Randwick,I Like Diamonds,0.2,$17 ,G1,Robert Thompson,Neville Begg
24/4/1982,ATC St Leger,Randwick,Gurner's Lane,0.4,$2.65 ,G2,Neville Voigt,Geoff Murphy
24/4/1982,SAJC Premier's Plate,Morphettville,Prince Plea,0.8,$26 ,G3,Michael Domingo,John Riggs
24/4/1982,WATC Oaks,Belmont,Magic Gauntlet,0.2,$3.25F,G1,John Miller,Alan Hawke
26/4/1982,AJC Services Memorial Cup,Randwick,Sean's Pride,1,$2.25F,LR,Neville Voigt,Geoff Murphy
1/5/1982,Flemington 1800,Flemington,Fearless Pride,2,$4 ,LR,B Ryan,Ted Broadhurst
1/5/1982,The Straight Six,Flemington,Papal Bull,0.2,$2.75F,LR,Brent Thomson,Colin Hayes
1/5/1982,VRC St Leger,Flemington,Gurner's Lane,3,$2.40F,G2,Mick Goreham,Geoff Murphy
1/5/1982,BATC Koomeela Stakes,Doomben,Mother Of Pearl,0.75,$5.50 ,LR,D Williams,John Wallace
1/5/1982,Cheltenham Stakes,Cheltenham,Aree Lad,6,$2.10F,G3,Ricky Pietsch,Colin Hayes
1/5/1982,Rain Lover Plate,Cheltenham,Prince Plea,0.2,$7 ,G3,R Moore,John Riggs
3/5/1982,BATC T.M. Ahern Stakes,Doomben,Paint The Town Red,0.3,$3F,LR,Michael Aspinall,George Sawden
3/5/1982,BRC Lord Mayor's Cup,Doomben,Keep Safe,1.5,$7.50 ,LR,Myles Plumb,J Hook
5/5/1982,Newcastle Newmarket,Newcastle,Grey Receiver,0.3,$3F,LR,Neville Voigt,Bob Thomsen
7/5/1982,Wagga Wagga Gold Cup,Wagga,Sean's Pride,1.3,$6 ,LR,Neville Voigt,Geoff Murphy
8/5/1982,Civic Stakes,Rosehill,Trench Digger,0.2,$2.20F,LR,Terry Duckett,Ray Guy
8/5/1982,STC Lord Mayor's Cup,Rosehill,My Friend Frances,0.1,$9 ,LR,Neville Voigt,Maureen Madsen
8/5/1982,John Hawkes Stakes,Morphettville,Peta Gay,0.5,$9 ,G3,Tassie Pegus,Ted Bryant
8/5/1982,Lord Reims Stakes,Morphettville,Dealer's Choice,0.1,$17 ,G3,Tassie Pegus,Ron Morgan
8/5/1982,SA Stakes,Morphettville,Make Mine Dollars,1.3,$5.50 ,G3,Wayne Treloar,Tommy Smith
8/5/1982,SAJC St Leger,Morphettville,Boktisan,1,$2.80EF,G3,Robert Heffernan,George Hanlon
8/5/1982,Queensland Oaks,Eagle Farm,Mother Of Pearl,1.75,$8 ,G1,D Williams,John Wallace
8/5/1982,WATC St Leger,Belmont,Magic Gauntlet,4,$2.75F,G3,John Miller,Alan Hawke
15/5/1982,SAJC Sires' Produce Stakes,Morphettville,Aree Lad,3,$1.40F,G2,Jim Courtney,Colin Hayes
15/5/1982,The Goodwood,Morphettville,Heavenly Time,0.1,$7.50 ,G1,Paul Jarman,Bob Hoysted
15/5/1982,Clive Uhr Quality,Doomben,Moa,1.3,$4.50 ,LR,Mick Dittman,C O'Neill
17/5/1982,Adelaide Cup,Morphettville,Dealer's Choice,1,$26 ,G1,Des Coleman,Ron Morgan
17/5/1982,The Cummings Stakes,Morphettville,Find The Gold,0.3,$3F,LR,Jim Courtney,Colin Hayes
17/5/1982,Tobin Bronze Stakes,Morphettville,Warrior King,4,$3.80EF,LR,Brent Thomson,Colin Hayes
22/5/1982,Stayers Cup,Rosehill,Lord Folkestone,0.2,$5.50 ,LR,John Marshall,Bart Cummings
22/5/1982,BRC Lightning Handicap,Eagle Farm,Seeker's Gold,0.1,$13 ,LR,Graham Ireland,Brian Pascoe
22/5/1982,Grand Prix Stakes,Eagle Farm,Our Planet,0.1,$2.40F,G2,Malcolm Johnston,Tommy Smith
22/5/1982,Victory Stakes,Eagle Farm,Keep Safe,0.1,$2F,G3,Myles Plumb,J Hook
26/5/1982,GCTC Australian Turf Club Trophy,Gold Coast,Avitt,3,$6.50 ,G3,Gavan Duffy,Nigel Landers
29/5/1982,John D Lee Stakes,Cheltenham,Welkin Light,0.4,$21 ,LR,R Woods,B Twigden
29/5/1982,Lindsay Rosenthal Stakes,Belmont,Pele Man,0.3,$13 ,LR,Rod Kemp,
2/6/1982,Kingsford-Smith Cup,Doomben,Todonic,1,$3.50 ,G3,Kerry Smith,Des Burns
5/6/1982,BRC Sires' Produce Stakes,Eagle Farm,Star Of The Knight,0.4,$15 ,G2,Gary Palmer,Eric Kirwan
5/6/1982,Moreton Cup,Eagle Farm,My Gold Hope,0.5,$13 ,G3,Nigel Tilley,Ray Verner
5/6/1982,Queensland Derby,Eagle Farm,Our Planet,2.3,$2.25F,G1,Malcolm Johnston,Tommy Smith
5/6/1982,The Q22,Eagle Farm,Shamrock,2.3,$3F,G2,Noel Harris,Bruce Marsh
5/6/1982,Helena Vale Cup,Belmont,Centreman,0.2,$13 ,G3,Brendan Leunig,
7/6/1982,Roma Cup,Belmont,Wild Side,0.1,$9 ,G3,Graeme Webster,Buster O'Malley
7/6/1982,WATC All Stars Stakes,Belmont,Sanatate,1.3,$4F,LR,Rod Kemp,Ted Hickling
10/6/1982,Rising Fast Stakes,Doomben,Sovereign Chick,1,$17 ,G3,Mick Dittman,Bart Cummings
12/6/1982,Rockhampton Cup,Rockhampton,El Akbar,4,$6 ,LR,Ivan Wernowski,Pat Duff
12/6/1982,Bob Charley AO Stakes,Randwick,Eye Of The Wind,0.3,$11 ,LR,Stephen Schofield,Caroline Hickey
12/6/1982,Creswick Stakes,Flemington,Fresh Start,0.2,$17 ,LR,Michael Hoy,Jack Barling
12/6/1982,BRC Peter Gallagher Stakes,Eagle Farm,Almond Valley,1,$5 ,LR,Malcolm Johnston,Tommy Smith
12/6/1982,Stradbroke Handicap,Eagle Farm,Grey Receiver,2,$17 ,G1,Neville Voigt,Bob Thomsen
12/6/1982,Belmont Sprint,Belmont,Kiwi Bride,0.1,$11 ,G3,Denis Gundry,Reg Rayment
12/6/1982,WATC Winter Cup,Belmont,Centreman,0.4,$6.50F,G3,Brendan Leunig,
14/6/1982,C.S. Hayes Memorial Cup,Victoria Park,Bargambler,0.8,$3.50F,LR,David Balfour,Mick Armfield
14/6/1982,Brisbane Cup,Eagle Farm,Queen's Road,0.4,$26 ,G1,Garry Murphy,Tom Hughes Snr
14/6/1982,J.J. Atkins,Eagle Farm,Anchor In,0.2,$5F,G2,Garry Murphy,Tom Hughes Snr
19/6/1982,W.J. McKell Cup,Rosehill,My Sir Avon,3,$7 ,LR,John Marshall,Bart Cummings
19/6/1982,BATC Stefan Sprint,Doomben,Magari,3,$11 ,LR,Dale Short,Ross McDonald
19/6/1982,D.J. O'Mara Stakes,Doomben,Big Spender,2,$3F,LR,Maurice Campbell,Bruce Marsh
19/6/1982,D.J. O'Mara Stakes,Doomben,Puff,0.2,$10 ,LR,H Saunders,Jim Atkins
26/6/1982,BRC Tattersall's Cup,Eagle Farm,Coe,2.3,$4F,G3,Graham Cook,Roy Dawson
26/6/1982,W.J. Healy Stakes,Eagle Farm,Ideal Planet,0.1,$3.50F,LR,Peter Cook,Tommy Smith
3/7/1982,BRC Chairman's Handicap,Doomben,Astrolin,1.5,$6.50 ,LR,Phil Alderman,Wayne Walters
3/7/1982,Doomben 10,,,,,,,
10/7/1982,The Headquarters Handicap,Flemington,Sabotic,1,$6EF,LR,David Charkes,Tom Hughes Snr
10/7/1982,Winter Championship Final,Flemington,Avatar,0.1,$8 ,LR,Pat Hyland,Jim Moloney
10/7/1982,Doomben Cup,Doomben,Double You Em,2,$21 ,G1,Dianne Moseley,Bruce Marsh
14/7/1982,Ramornie Handicap,Grafton,High Classic,1,$5F,LR,Peter Cook,Kelso Wood
15/7/1982,Grafton Cup,Grafton,Osmiridium,0.3,$6 ,LR,Kevin Moses,Neville Begg
17/7/1982,ATC Winter Cup,Rosehill,Goodbye Sailor,8,$9 ,LR,Kevin Moses,Les Bridge
17/7/1982,ATC Winter Stakes,Rosehill,Ngaiambin,0.2,$6.50EF,LR,Grahame Robson,Tommy Smith
17/7/1982,Eye Liner Stakes,Ipswich,Atropine,2,$9 ,LR,Gavan Duffy,Ted Cameron
17/7/1982,Ipswich Cup,Ipswich,In Luck,0.1,$9 ,LR,Peter Cook,Tommy Smith
24/7/1982,Townsville Cup,Townsville,El Akbar,1,$3F,LR,Ivan Wernowski,Pat Duff
31/7/1982,Murray Bridge Gold Cup,Victoria Park,Pacific Gambler,0.3,$17 ,LR,R Woods,John Hawkes
31/7/1982,SAJC Lightning Stakes,Victoria Park,Flight Star,0.2,$13 ,G3,Des Coleman,Joe Hall
31/7/1982,Missile Stakes,Rosehill,Nordic Prince,0.5,$9 ,G3,Terry Duckett,Ray Guy
31/7/1982,Tatts QLD Tattersall's Mile,Eagle Farm,Beach Boy,0.2,$3.25F,LR,Mick Dittman,Geoff Murphy
2/8/1982,Darwin Cup,Darwin,Plain Mick,,,LR,David Balfour,
7/8/1982,San Domenico Stakes,Warwick Farm,Rosebrook,0.4,$6 ,LR,Kevin Langby,Jim Johnstone
7/8/1982,Adelaide Guineas,Victoria Park,Covetous,1,$2F,G3,Jim Courtney,Colin Hayes
7/8/1982,QTC Exhibition Handicap,Eagle Farm,Elmar,0.2,$4 ,LR,John Dowling,Ray Cleaver
14/8/1982,W.H. Wylie Handicap,Victoria Park,Sunny Cheval,0.1,$7 ,LR,David Tootell,John McIntosh
14/8/1982,Cameron Handicap,Newcastle,Manuan,1,$5EF,LR,Tony Marney,Noel Daly
14/8/1982,Ascot Handicap,Eagle Farm,Atropine,1.5,$3.50F,LR,Gavan Duffy,Ted Cameron
14/8/1982,QTC Metropolitan Handicap,Eagle Farm,Elmar,0.8,$5.50 ,LR,John Dowling,Ray Cleaver
14/8/1982,Premiere Stakes,Canterbury,Latin Saint,1.3,$5 ,G3,Malcolm Johnston,Tommy Smith
19/8/1982,Gosford Classic,Gosford,Northern Reward,DH,$2.40F,LR,Ron Quinton,Neville Begg
21/8/1982,Silver Shadow Stakes,Warwick Farm,Rosebrook,1.3,$4F,LR,Kevin Langby,Jim Johnstone
21/8/1982,Up And Coming Stakes,Warwick Farm,Marscay,0.5,$1.80F,G3,Ron Quinton,Jack Denham
21/8/1982,Winx Stakes,Warwick Farm,Kingston Town,0.8,$1.55F,G2,Malcolm Johnston,Tommy Smith
21/8/1982,Manikato Stakes,Moonee Valley,Manikato,0.1,$2.65F,G2,Gary Willetts,Bob Hoysted
21/8/1982,Belmont Newmarket,Belmont,Wool Zone (1977),0.8,$6 ,LR,Ian Albuino,Allan Taylor
28/8/1982,P.B. Lawrence Stakes,Sandown,Cobra,1.3,$11 ,G2,Phil Alderman,Wayne Walters
28/8/1982,Golden Rose,Rosehill,Cossack Prince,0.1,$4.50 ,G2,Neville Voigt,Jim Marconi
28/8/1982,Belgravia Stakes,Belmont,Orange Royale,0.1,$5.50 ,LR,John Miller,Kevin Leaver
4/9/1982,Chelmsford Stakes,Randwick,Rare Form,1.5,$4 ,G2,Rodney Hardwicke,Brian Mayfield-Smith
4/9/1982,Roman Consul Stakes,Randwick,Andretti,0.2,$13 ,LR,Peter Cook,George Way
4/9/1982,Tatt's NSW Tattersall's Plate,Randwick,Peninsula,0.8,$8 ,LR,Wayne Harris,Ray Wallace
