YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1962,ADELAIDE CUP,MORPHETTVILLE,3200,Cheong Sam,Colin Hayes,Jim Johnson,AUSTRALIA,,,,,,,,,
1962,ALL AGED STAKES,RANDWICK,1600,Kilshery,Tommy Smith,George Podmore,AUSTRALIA,,,,,,,,,
1962,ASCOT GOLD CUP,ASCOT (UK),4000,Balto,Max Bonaventure,Freddie Palmer,ENGLAND,,,,,,,,,
1962,AUSTRALIAN CUP,FLEMINGTON,3500,Welkin Prince,Geoff Murphy,Billy Smith,AUSTRALIA,,,,,,,,,
1962,AUSTRALIAN DERBY,RANDWICK,2400,Summer Prince,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1962,AUSTRALIAN OAKS,RANDWICK,2400,Indian Summer,Bert McCoy,Roy Higgins,AUSTRALIA,,,,,,,,,
1962,BELMONT STAKES,BELMONT PARK,2400,Jaipur,Bert Mulholland,Bill Shoemaker,USA,,,,,,,,,
1962,BRISBANE CUP,EAGLE FARM,3200,Kamikaze,Harold Riley,Bill Taylor,AUSTRALIA,,,,,,,,,
1962,CANADIAN INTERNATIONAL STAKES,WOODBINE,2600,El Bandito,Joseph H Pierce,Ray Broussard,USA,,,,,,,,,
1962,CANTERBURY GUINEAS,CANTERBURY,1850,Summer Prince,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1962,CAULFIELD CUP,CAULFIELD,2400,Even Stevens,Arch McGregor,Les Coles,AUSTRALIA,,,,,,,,,
1962,CAULFIELD GUINEAS,CAULFIELD,1600,Coppelius,Brian Courtney,Geoff Lane,AUSTRALIA,,,,,,,,,
1962,CAULFIELD STAKES,CAULFIELD,2000,Sky High,Jack Green,George Moore,AUSTRALIA,,,,,,,,,
1962,CHAMPAGNE STAKES,RANDWICK,1200,Bogan Road,Jack Montgomery,Arthur Gallagher,AUSTRALIA,,,,,,,,,
1962,CHAMPION STAKES,ASCOT (UK),2000,Arctic Storm,John Oxx,Bill Williamson,ENGLAND,,,,,,,,,
1962,CHEVELEY PARK STAKES,NEWMARKET,1200,My Goodness Me,Geoffrey Brooke,Eph Smith,ENGLAND,,,,,,,,,
1962,CORONATION CUP,EPSOM,2420,Dicta Drake,Francois Mathet,Yves Saint-Martin,ENGLAND,,,,,,,,,
1962,COX PLATE,MOONEE VALLEY,2040,Aquanita,Roy Shaw,Frank Moore,AUSTRALIA,,,,,,,,,
1962,CRAVEN 'A' STAKES,FLEMINGTON,1200,Samson,Norm Creighton,Arthur Ward,AUSTRALIA,,,,,,,,,
1962,DEUTSCHES DERBY,HAMBURG,2400,Herero,Arthur Lochow,Hein Bollow,GERMANY,,,,,,,,,
1962,DEWHURST STAKES,NEWMARKET,1600,Follow Suit,Noel Murless,Lester Piggott,ENGLAND,,,,,,,,,
1962,DONCASTER HANDICAP,RANDWICK,1600,Te Poi,Ron Dickerson,Jack Thompson,AUSTRALIA,,,,,,,,,
1962,"DOOMBEN 10,000",DOOMBEN,1400,Red Smoke,Neil Larson,Bill Wellburn,AUSTRALIA,,,,,,,,,
1962,DOOMBEN CUP,DOOMBEN,2200,Samson,Norm Creighton,Arthur Ward,AUSTRALIA,,,,,,,,,
1962,ECLIPSE STAKES,SANDOWN (UK),2000,Henry The Seventh,Bill Elsley,Edward Hide,ENGLAND,,,,,,,,,
1962,EPSOM DERBY,EPSOM,2420,Larkspur,Vincent O'Brien,Neville Sellwood,ENGLAND,,,,,,,,,
1962,EPSOM HANDICAP,RANDWICK,1600,Rochdale,Bill Clifton,Athol Mulley,AUSTRALIA,,,,,,,,,
1962,EPSOM OAKS,EPSOM,2420,Monade,Joseph Lieux,Yves Saint-Martin,ENGLAND,,,,,,,,,
1962,FUTURITY STAKES,CAULFIELD,1400,Aquanita,Roy Shaw,Roy Higgins,AUSTRALIA,,,,,,,,,
1962,GEORGE ADAMS HANDICAP,FLEMINGTON,1600,Woambra,Phil Burke,Roy Higgins,AUSTRALIA,,,,,,,,,
1962,GEORGE MAIN STAKES,RANDWICK,1600,New Statesman,Brian Courtney,Keith Smith,AUSTRALIA,,,,,,,,,
1962,GEORGE RYDER STAKES,ROSEHILL,1400,Prince Regoli,Stan Lamond,Barry Dawes,AUSTRALIA,,,,,,,,,
1962,GOLDEN SLIPPER,ROSEHILL,1200,Birthday Card,Reg Ferris,Roy Greenwood,AUSTRALIA,,,,,,,,,
1962,GOODWOOD HANDICAP,MORPHETTVILLE,1200,Conrapt,A Sachs,Tom Burke,AUSTRALIA,,,,,,,,,
1962,GRAN PREMIO DEL JOCKEY CLUB,,,Misti IV,Georges Bridgland,Maurice Larraun,,,,,,,,,,
1962,GRAND PRIX DE PARIS,,,Armistance,John Cunnington Jnr,Jean Deforge,,,,,,,,,,
1962,GRAND PRIX DE SAINT-CLOUD,,,Match II,Francois Mathet,Jacques Fabre,,,,,,,,,,
1962,INVITATION  STAKES,CAULFIELD,1400,Anonyme,Jim Pengilly,Alan Burton,AUSTRALIA,,,,,,,,,
1962,"IRISH 1,000 GUINEAS",CURRAGH,1600,Shandon Belle,R Fetherstonhaugh,Tommy Burns,IRELAND,,,,,,,,,
1962,"IRISH 2,000 GUINEAS",CURRAGH,1600,Arctic Storm,John Oxx,Bill WIlliamson,IRELAND,,,,,,,,,
1962,IRISH DERBY,CURRAGH,2400,Tambourine,Etienne Pollet,Roger Poincelet,IRELAND,,,,,,,,,
1962,IRISH OAKS,CURRAGH,2400,French Cream,G Brooke,Bill Rickaby,IRELAND,,,,,,,,,
1962,IRISH ST LEGER,CURRAGH,2800,Arctic Vale,Paddy Prendergast,Peadar Matthews,IRELAND,,,,,,,,,
1962,JOCKEY CLUB GOLD CUP,,,Kelso,Carl Hanford,Ismael Valenzuela,,,,,,,,,,
1962,KENTUCKY DERBY,CHURCHILL DOWNS,2000,Decidedly,Horatio Luro,Bill Hartack,USA,,,,,,,,,
1962,KENTUCKY OAKS,CHURCHILL DOWNS,2000,Cicada,Casey Hayes,Bill Shoemaker,USA,,,,,,,,,
1962,KING GEORGE VI & QUEEN ELIZABETH STAKES,ASCOT (UK),2400,Match,Francois Mathet,Yves Saint-Martin,ENGLAND,,,,,,,,,
1962,MACKINNON STAKES,FLEMINGTON,2000,Aquanita,Roy Shaw,Frank Moore,AUSTRALIA,,,,,,,,,
1962,MELBOURNE CUP,FLEMINGTON,3200,Even Stevens,Arch McGregor,Les Coles,AUSTRALIA,,,,,,,,,
1962,MIDDLE PARK STAKES,NEWMARKET,1200,Crocket,Geoffrey Brooke,Eph Smith,ENGLAND,,,,,,,,,
1962,NEWMARKET HANDICAP,FLEMINGTON,1200,Victorious,Theo Lewis,Billy Smith,AUSTRALIA,,,,,,,,,
1962,NUNTHORPE STAKES,,,Gay Mairi,H Whiteman,Scobie Breasley,,,,,,,,,,
1962,OAKLEIGH PLATE,CAULFIELD,1100,New Statesman,Brian Courtney,Jack Purtell,AUSTRALIA,,,,,,,,,
1962,PERTH CUP,ASCOT (AUS),3200,Royal Khora,D Clark,Billy Smith,AUSTRALIA,,,,,,,,,
1962,PREAKNESS STAKES,PIMILCO,1900,Greek Money,Virgil Raines,John Rotz,USA,,,,,,,,,
1962,PRIX DE L'ARC DE TRIOMPHE,LONGCHAMP,2400,Soltikoff,Rene Pelat,Marcel Depalmas,FRANCE,,,,,,,,,
1962,PRIX DU JOCKEY CLUB,,,Val de Loir,Max Bonaventure,Freddie Palmer,,,,,,,,,,
1962,PRIX DU MOULIN DE LONGCHAMP,,,Romulus,Fulke Johnson Houghton,Walter Swinburn,,,,,,,,,,
1962,PRIX JACQUES LE MAROIS,,,Lebon M. L.,Etienne Pollet,Guy Chancelier,,,,,,,,,,
1962,PRIX JEAN LUC-LAGARDERE,,,Hula Dancer,Etienne Pollet,Roger Poincelet,,,,,,,,,,
1962,PRIX LUPIN,,,Montfleur,William Head,Albert Laborde,,,,,,,,,,
1962,PRIX ROBERT PAPIN,MAISONS-LAFITTE,1100,Quiqui,Rene Pelat,Georges Freville,FRANCE,,,,,,,,,
1962,QUEEN ELIZABETH STAKES,RANDWICK,2800,Nilarco,Kel Chapman,Tommy Hill,AUSTRALIA,,,,,,,,,
1962,QUEENSLAND DERBY,EAGLE FARM,2400,Honest Man,Ron Conquest,Neil Birrer,AUSTRALIA,,,,,,,,,
1962,QUEENSLAND OAKS,EAGLE FARM,2400,Hoa Hine,Dick Roden,Neil Birrer,AUSTRALIA,,,,,,,,,
1962,RAILWAY STAKES,ASCOT (AUS),1600,Royal Thrust,F Williams,Jack Marshall,AUSTRALIA,,,,,,,,,
1962,RAWSON STAKES,ROSEHILL,1800,Sky High,Jack Green,George Moore,AUSTRALIA,,,,,,,,,
1962,ROSEHILL GUINEAS,ROSEHILL,2000,Bogan Road,Jack Montgomery,Athol Mulley,AUSTRALIA,,,,,,,,,
1962,SIRES' PRODUCE STAKES,RANDWICK,1400,Bogan Road,Jack Montgomery,Arthur Gallagher,AUSTRALIA,,,,,,,,,
1962,SOUTH AUSTRALIAN DERBY,MORPHETTVILLE,2500,Royal Ziet,N Finlay,Dave Kelly,AUSTRALIA,,,,,,,,,
1962,ST LEGER,DONCASTER,2921,Hethersett,Dick Hern,Harry Carr,ENGLAND,,,,,,,,,
1962,STRADBROKE HANDICAP,EAGLE FARM,1400,Kilshery,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1962,SUSSEX STAKES,GOODWOOD,1600,Romulus,Fulke Johnson Houghton,Walter Swinburn,ENGLAND,,,,,,,,,
1962,SYDNEY CUP,RANDWICK,3200,Grand Print,Jack Besanko,Roy Higgins,AUSTRALIA,,,,,,,,,
1962,TATTERSALLS GOLD CUP,,,TV,H Murless,Pandu Khade,,,,,,,,,,
1962,THE METROPOLITAN,RANDWICK,2600,The Dip,Jim Cummings,Billy Smith,AUSTRALIA,,,,,,,,,
1962,THOUSAND GUINEAS,CAULFIELD,1600,Regal Peace,Tommy Smith,Athol Mulley,AUSTRALIA,,,,,,,,,
1962,TOORAK HANDICAP,CAULFIELD,1600,Gay Filou,Alex Lawson,Peter Bakos,AUSTRALIA,,,,,,,,,
1962,UK 1000 GUINEAS,NEWMARKET,1600,Abermaid,Harry Wragg,Bill Williamson,ENGLAND,,,,,,,,,
1962,UK 2000 GUINEAS,NEWMARKET,1600,Privy Councillor,Tom Waugh,Bill Rickaby,ENGLAND,,,,,,,,,
1962,UNDERWOOD STAKES,CAULFIELD,2000,Aquanita,Roy Shaw,Frank Moore,AUSTRALIA,,,,,,,,,
1962,VRC DERBY,FLEMINGTON,2500,Coppelius,Brian Courtney,Geoff Lane,AUSTRALIA,,,,,,,,,
1962,VRC OAKS,FLEMINGTON,2500,Arctic Star,Ray Hutchins,Les Coles,AUSTRALIA,,,,,,,,,
1962,VRC SIRES' PRODUCE,FLEMINGTON,1400,Jan's Image,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1962,WASHINGTON DC INTERNATIONAL STAKES,,,Match II,Francois Mathet,Yves Saint-Martin,,,,,,,,,,
1962,WATC DERBY,ASCOT (AUS),2400,Nicopolis,H Campbell,Frank Moore,AUSTRALIA,,,,,,,,,
1962,WATC OAKS,ASCOT (AUS),2400,Activity,,,AUSTRALIA,,,,,,,,,
1962,YORKSHIRE OAKS,YORK,2385,West Side Story,Ted Leader,Eph Smith,ENGLAND,,,,,,,,,
1962,POULE D'ESSAI DES POULICHES,LONGCHAMP,1600,La Sega,Francois Mathet,Yves Saint-Martin,FRANCE,,,,,,,,,
1962,POULE D'ESSAI DES POULAINS,LONGCHAMP,1600,Adamastor,William Head,Yves Saint-Martin,FRANCE,,,,,,,,,
1962,PRIX DE DIANE,CHANTILLY,2100,La Sega,Francois Mathet,Yves Saint-Martin,FRANCE,,,,,,,,,
1962,PRIX ROYAL-OAK,LONGCHAMP,3000,Sicilian Prince,Noel Murless,L Ward,FRANCE,,,,,,,,,
1962,PRIX MORNY,DEAUVILLE,1200,Darannour,Alec Head,Neville Sellwood,FRANCE,,,,,,,,,
1962,PRIX VERMEILLE,LONGCHAMP,2400,Monade,J Lieux,Maurice Larraun,FRANCE,,,,,,,,,
1962,GROSSER PREIS VON BERLIN,HOPPEGARTEN,2400,Windbruch,Johannes Kuhr,Johannes Starosta,GERMANY,,,,,,,,,
1962,GROSSER PREIS VON BADEN,BADEN BADEN,2400,Kaiserstuhl,Sven von Mitzlaff,Joan Pall,GERMANY,,,,,,,,,
1961,SOUTH AUSTRALIAN OAKS,MORPHETTVILLE,2500,Ready Or Not,Colin Hayes,John Miller,AUSTRALIA,,,,,,,,,
1963,ADELAIDE CUP,MORPHETTVILLE,3200,Woolstar,Max Williams,Tony May,AUSTRALIA,,,,,,,,,
1963,ALL AGED STAKES,RANDWICK,1600,Kilshery,Tommy Smith,Les Coles,AUSTRALIA,,,,,,,,,
1963,ASCOT GOLD CUP,ASCOT (UK),4000,Twilight Alley,Noel Murless,Lester Piggott,ENGLAND,,,,,,,,,
1963,AUSTRALIAN CUP,FLEMINGTON,2800,Welkin Prince,Geoff Murphy,Les Coles,AUSTRALIA,,,,,,,,,
1963,AUSTRALIAN DERBY,RANDWICK,2400,Summer Fiesta,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1963,AUSTRALIAN OAKS,RANDWICK,2400,Arctic Star,Ray Hutchins,Les Coles,AUSTRALIA,,,,,,,,,
1963,BELMONT STAKES,BELMONT PARK,2400,Chateaugay,James Conway,Braulio Baeza,USA,,,,,,,,,
1963,BRISBANE CUP,EAGLE FARM,3200,Campo,Brian Courtney,Peter Gumbleton,AUSTRALIA,,,,,,,,,
1963,CANADIAN INTERNATIONAL STAKES,WOODBINE,2600,The Axe II,John Gaver Snr,John Rotz,USA,,,,,,,,,
1963,CANTERBURY GUINEAS,CANTERBURY,1850,Summer Fiesta,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1963,CAULFIELD CUP,CAULFIELD,2400,Sometime,Les Patterson,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,CAULFIELD GUINEAS,CAULFIELD,1600,Time and Tide,Harry Plant,George Moore,AUSTRALIA,,,,,,,,,
1963,CAULFIELD STAKES,CAULFIELD,2000,Sometime,Les Patterson,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,CHAMPAGNE STAKES,RANDWICK,1200,Time and Tide,Harry Plant,George Moore,AUSTRALIA,,,,,,,,,
1963,CHAMPION STAKES,ASCOT (UK),2000,Hula Dancer,Etienne Pollet,Jean Deforge,ENGLAND,,,,,,,,,
1963,CHEVELEY PARK STAKES,NEWMARKET,1200,Crimea II,Cecil Boyd-Rochfort,Harry Carr,ENGLAND,,,,,,,,,
1963,CORONATION CUP,EPSOM,2420,Exbury,Geoffroy Watson,Jean Deforge,ENGLAND,,,,,,,,,
1963,COX PLATE,MOONEE VALLEY,2040,Summer Regent,Ray Cotter,John Riordan,AUSTRALIA,,,,,,,,,
1963,CRAVEN 'A' STAKES,FLEMINGTON,1200,Ripa,Basil Conaghan,John Stocker,AUSTRALIA,,,,,,,,,
1963,DEUTSCHES DERBY,HAMBURG,2400,Fanfar,Albert Klimscha,Lester Piggott,GERMANY,,,,,,,,,
1963,DEWHURST STAKES,NEWMARKET,1600,King's Lane,Samuel Hall,Joe Sime,ENGLAND,,,,,,,,,
1963,DONCASTER HANDICAP,RANDWICK,1600,Fine and Dandy,Harry Plant,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,"DOOMBEN 10,000",DOOMBEN,1400,Tipperary Star,Bertie Byrnes,Colin O'Neill,AUSTRALIA,,,,,,,,,
1963,DOOMBEN CUP,DOOMBEN,2200,Maspero,Kevin Young,Barry Stein,AUSTRALIA,,,,,,,,,
1963,ECLIPSE STAKES,SANDOWN (UK),2000,Khalkis,Paddy Prendergast,Garnet Bougoure,ENGLAND,,,,,,,,,
1963,EPSOM DERBY,EPSOM,2420,Relko,Francois Mathet,Yves Saint-Martin,ENGLAND,,,,,,,,,
1963,EPSOM HANDICAP,RANDWICK,1600,Toi Port,Bill Stripe,Frank Treen,AUSTRALIA,,,,,,,,,
1963,EPSOM OAKS,EPSOM,2420,Noblesse,Paddy Prendergast,Garnet Bougoure,ENGLAND,,,,,,,,,
1963,FLORIDA DERBY,,,Candy Spots,Mesh Tenney,Bill Shoemaker,,,,,,,,,,
1963,FUTURITY STAKES,CAULFIELD,1400,Wenona Girl,Maurice McCarten,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,GEORGE ADAMS HANDICAP,FLEMINGTON,1600,Wenona Girl,Maurice McCarten,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,GEORGE MAIN STAKES,RANDWICK,1600,Wenona Girl,Maurice McCarten,George Podmore,AUSTRALIA,,,,,,,,,
1963,GEORGE RYDER STAKES,ROSEHILL,1400,Prince Regoli,Stan Lamond,Stan Cassidy,AUSTRALIA,,,,,,,,,
1963,GOLDEN SLIPPER,ROSEHILL,1200,Pago Pago,Tom Jenner,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,GOODWOOD HANDICAP,MORPHETTVILLE,1200,Queen Dassie,G McDonald,Glyn Pretty,AUSTRALIA,,,,,,,,,
1963,GRAN PREMIO DEL JOCKEY CLUB,,,Soltikoff,,,,,,,,,,,,
1963,GRAND PRIX DE PARIS,,,Sanctus,Etienne Pollet,Roger Poincelet,,,,,,,,,,
1963,GRAND PRIX DE SAINT-CLOUD,,,Relko,Francois Mathet,Yves Saint-Martin,,,,,,,,,,
1963,INVITATION  STAKES,CAULFIELD,1400,Samson,Kel Chapman,Arthur Lister,AUSTRALIA,,,,,,,,,
1963,"IRISH 1,000 GUINEAS",CURRAGH,1600,Gazpacho,Paddy Prendergast,Freddie Palmer,IRELAND,,,,,,,,,
1963,"IRISH 2,000 GUINEAS",CURRAGH,1600,Linacre,Paddy Prendergast,Peadar Matthews,IRELAND,,,,,,,,,
1963,IRISH DERBY,CURRAGH,2400,Ragusa,Paddy Prendergast,Garnet Bougoure,IRELAND,,,,,,,,,
1963,IRISH OAKS,CURRAGH,2400,Hibernia II,John Oxx,Bill WIlliamson,IRELAND,,,,,,,,,
1963,IRISH ST LEGER,CURRAGH,2800,Christmas Island,Paddy Prendergast,Garnet Bougoure,IRELAND,,,,,,,,,
1963,JOCKEY CLUB GOLD CUP,,,Kelso,Carl Hanford,Ismael Valenzuela,,,,,,,,,,
1963,KENTUCKY DERBY,CHURCHILL DOWNS,2000,Chateaugay,James Conway,Braulio Baeza,USA,,,,,,,,,
1963,KENTUCKY OAKS,CHURCHILL DOWNS,2000,Sally Ship,Woody Stephens,Manuel Ycaza,USA,,,,,,,,,
1963,KING GEORGE VI & QUEEN ELIZABETH STAKES,ASCOT (UK),2400,Ragusa,Paddy Prendergast,Garnet Bougoure,ENGLAND,,,,,,,,,
1963,MACKINNON STAKES,FLEMINGTON,2000,Summer Fair,Leo O'Sullivan,George Moore,AUSTRALIA,,,,,,,,,
1963,MELBOURNE CUP,FLEMINGTON,3200,Gatum Gatum,Greame Heagney,Jim Johnson,AUSTRALIA,,,,,,,,,
1963,MIDDLE PARK STAKES,NEWMARKET,1200,Showdown,Fred Winter,Doug Smith,ENGLAND,,,,,,,,,
1963,NEWMARKET HANDICAP,FLEMINGTON,1200,Our Cobber,Norman Brown,Brian Gilders,AUSTRALIA,,,,,,,,,
1963,NUNTHORPE STAKES,,,Matalina,Sam Armstrong,Lester Piggott,,,,,,,,,,
1963,OAKLEIGH PLATE,CAULFIELD,1100,Kilshery,Tommy Smith,Les Coles,AUSTRALIA,,,,,,,,,
1963,PERTH CUP,ASCOT (AUS),3200,Bay Count,F McAuliffe,Frank Treen,AUSTRALIA,,,,,,,,,
1963,PREAKNESS STAKES,PIMILCO,1900,Candy Spots,Mesh Tenney,Bill Shoemaker,USA,,,,,,,,,
1963,PREIS VON EUROPA,,,Opponent,Josef Hochstein,Hein Bollow,,,,,,,,,,
1963,PRIX DE L'ARC DE TRIOMPHE,LONGCHAMP,2400,Exbury,Geoffroy Watson,Jean Deforge,FRANCE,,,,,,,,,
1963,PRIX DU JOCKEY CLUB,,,Sanctus,Etienne Pollet,Maurice Larraun,,,,,,,,,,
1963,PRIX DU MOULIN DE LONGCHAMP,,,Hula Dancer,Etienne Pollet,Roger Poincelet,,,,,,,,,,
1963,PRIX JACQUES LE MAROIS,,,Hula Dancer,Etienne Pollet,Roger Poincelet,,,,,,,,,,
1963,PRIX JEAN LUC-LAGARDERE,,,Neptunus,Etienne Pollet,Pat Glennon,,,,,,,,,,
1963,PRIX JEAN LUC-LAGARDERE,,,Neptunus,Etienne Pollet,Pat Glennon,,,,,,,,,,
1963,PRIX LUPIN,,,Duc De Gueldre,Geoffroy Watson,Louis Heurteur,,,,,,,,,,
1963,PRIX ROBERT PAPIN,MAISONS-LAFITTE,1100,Djel,Mick Bartholomew,Maxime Garcia,FRANCE,,,,,,,,,
1963,QUEEN ELIZABETH STAKES,RANDWICK,2800,Burgos,Tommy Smith,George Moore,AUSTRALIA,,,,,,,,,
1963,QUEENSLAND DERBY,EAGLE FARM,2400,Confidence,Fred Best,Colin O'Neill,AUSTRALIA,,,,,,,,,
1963,QUEENSLAND OAKS,EAGLE FARM,2400,Aspalita,Roy Dawson,Colin O'Neill,AUSTRALIA,,,,,,,,,
1963,RAILWAY STAKES,ASCOT (AUS),1600,Yenton,N Hodgson,G Dickenson,AUSTRALIA,,,,,,,,,
1963,RAWSON STAKES,ROSEHILL,1500,Sky High,Jack Green,George Moore,AUSTRALIA,,,,,,,,,
1963,ROSEHILL GUINEAS,ROSEHILL,2000,Castanea,Herb Sampson,Billy Camer,AUSTRALIA,,,,,,,,,
1963,SANTA ANITA DERBY,,,Candy Spots,Mesh Tenney,Bill Shoemaker,,,,,,,,,,
1963,SIRES' PRODUCE STAKES,RANDWICK,1400,Time and Tide,Harry Plant,George Moore,AUSTRALIA,,,,,,,,,
1963,SOUTH AUSTRALIAN DERBY,MORPHETTVILLE,2500,Hunting Horn,Les Patterson,Tony May,AUSTRALIA,,,,,,,,,
1963,ST LEGER,DONCASTER,2921,Ragusa,Paddy Prendergast,Garnet Bougoure,ENGLAND,,,,,,,,,
1963,STRADBROKE HANDICAP,EAGLE FARM,1400,Mullala,Bart Sinclair,Darby McCarthy,AUSTRALIA,,,,,,,,,
1963,SUSSEX STAKES,GOODWOOD,1600,Queen's Hassar,Thomas Corbett,Ron Hutchinson,ENGLAND,,,,,,,,,
1963,SYDNEY CUP,RANDWICK,3200,Maidenhead,Ken Cantrell,Billy Smith,AUSTRALIA,,,,,,,,,
1963,TANCRED STAKES,ROSEHILL,2000,Maidenhead,Ken Cantrell,Alan Horn,AUSTRALIA,,,,,,,,,
1963,TATTERSALLS GOLD CUP,,,Nardoo,Vincent O'Brien,Pat Glennon,,,,,,,,,,
1963,THE METROPOLITAN,RANDWICK,2600,Galerus,Kel Suttle,Athol Mulley,AUSTRALIA,,,,,,,,,
1963,THOUSAND GUINEAS,CAULFIELD,1600,Anna Rose,Bart Cummings,Frank Moore,AUSTRALIA,,,,,,,,,
1963,THOUSAND GUINEAS,CAULFIELD,1600,Heirloom,Fil Allotta,Stan Cassidy,AUSTRALIA,,,,,,,,,
1963,TOORAK HANDICAP,CAULFIELD,1600,Nicopolis,Des Judd,Brian Gilders,AUSTRALIA,,,,,,,,,
1963,UK 1000 GUINEAS,NEWMARKET,1600,Hula Dancer,Etienne Pollet,Roger Poincelet,ENGLAND,,,,,,,,,
1963,UK 2000 GUINEAS,NEWMARKET,1600,Only For Life,Jeremy Tree,Jimmy Lindley,ENGLAND,,,,,,,,,
1963,UNDERWOOD STAKES,CAULFIELD,2000,Havelock,Ken Hilton,George Podmore,AUSTRALIA,,,,,,,,,
1963,VRC DERBY,FLEMINGTON,2500,Craftsman,Andy White,Pat Hyland,AUSTRALIA,,,,,,,,,
1963,VRC OAKS,FLEMINGTON,2500,Jingle Bells,Des Judd,Brian Gilders,AUSTRALIA,,,,,,,,,
1963,VRC SIRES' PRODUCE,FLEMINGTON,1400,Pago Pago,Tom Jenner,Bill Pyers,AUSTRALIA,,,,,,,,,
1963,WASHINGTON DC INTERNATIONAL STAKES,,,Mongo,Frank Bonsal,Wayne Chambers,,,,,,,,,,
1963,WATC DERBY,ASCOT (AUS),2400,Gojon,Frank Towton,B Hutchison,AUSTRALIA,,,,,,,,,
1963,WATC OAKS,ASCOT (AUS),2400,Swell Baby,,,AUSTRALIA,,,,,,,,,
1963,YORKSHIRE OAKS,YORK,2385,Outcrop,Geoffrey Barling,Eph Smith,ENGLAND,,,,,,,,,
1963,POULE D'ESSAI DES POULICHES,LONGCHAMP,1600,Altissima,Rene Pelat,Roger Poincelet,FRANCE,,,,,,,,,
1963,POULE D'ESSAI DES POULAINS,LONGCHAMP,1600,Reiko,Francois Mathet,Yves Saint-Martin,FRANCE,,,,,,,,,
1963,PRIX DE DIANE,CHANTILLY,2100,Belle Ferronniere,Richard Carver Jnr,J Carver,FRANCE,,,,,,,,,
1963,PRIX ROYAL-OAK,LONGCHAMP,3000,Reiko,Francois Mathet,Yves Saint-Martin,FRANCE,,,,,,,,,
1963,PRIX VERMEILLE,LONGCHAMP,2400,Golden Girl,Francois Mathet,Yves Saint-Martin,FRANCE,,,,,,,,,
1963,PRIX SAINT-ALARY,LONGCHAMP,2000,Cervinia,Alec Head,Freddy Palmer,FRANCE,,,,,,,,,
1963,GROSSER PREIS VON BERLIN,HOPPEGARTEN,2400,Mercurius,Friedrich Schlaefke,Peter Remmert,GERMANY,,,,,,,,,
1963,GROSSER PREIS VON BADEN,BADEN BADEN,2400,Espresso,Harry Wragg,Bill Williamson,GERMANY,,,,,,,,,
1962,SOUTH AUSTRALIAN OAKS,MORPHETTVILLE,2500,Fondness,Colin Hayes,Jim Courtney,AUSTRALIA,,,,,,,,,
1961,SOUTH AUSTRALIAN OAKS,MORPHETTVILLE,2500,Cimarra,Kerry Walker,Alf Matthews,AUSTRALIA,,,,,,,,,
1964,ADELAIDE CUP,MORPHETTVILLE,3200,Jamagne,H Lehmann,Glyn Pretty,AUSTRALIA,,,,,,,,,
1964,ALL AGED STAKES,RANDWICK,1600,Wenona Girl,Maurice McCarten,George Moore,AUSTRALIA,,,,,,,,,
1964,AUSTRALIAN CUP,FLEMINGTON,2000,Grand Print,Jack Besanko,Pat Hyland,AUSTRALIA,,,,,,,,,
1964,AUSTRALIAN DERBY,RANDWICK,2400,Royal Sovereign,John Page,Ray Selkrig,AUSTRALIA,,,,,,,,,
1964,AUSTRALIAN OAKS,RANDWICK,2400,Jane Hero,Vic Thompson,Hilton Cope,AUSTRALIA,,,,,,,,,
1964,BELMONT STAKES,BELMONT PARK,2400,Quadrangle,J Elliot Burch,Manuel Ycaza,USA,,,,,,,,,
1964,BRISBANE CUP,EAGLE FARM,3200,Fair Patton,Vic Thompson,Ray Selkrig,AUSTRALIA,,,,,,,,,
1964,CANADIAN INTERNATIONAL STAKES,WOODBINE,2600,Will I Rule,Joe Nash,Ron Turcotte,USA,,,,,,,,,
1964,CANTERBURY GUINEAS,CANTERBURY,1850,Struass,Jack Green,Billy Camer,AUSTRALIA,,,,,,,,,
1964,CAULFIELD CUP,CAULFIELD,2400,Yangtze,Ron Dini,John Stocker,AUSTRALIA,,,,,,,,,
1964,CAULFIELD GUINEAS,CAULFIELD,1600,Yangtze,Ron Dini,John Stocker,AUSTRALIA,,,,,,,,,
1964,CAULFIELD STAKES,CAULFIELD,2000,Contempler,Mick Armfield,Jim Johnson,AUSTRALIA,,,,,,,,,
1964,CHAMPAGNE STAKES,RANDWICK,1200,Farnworth,Maurice McCarten,George Podmore,AUSTRALIA,,,,,,,,,
