YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1796,ST LEGER,DONCASTER,2921,Ambrosio,Frank Neale,John Jackson,ENGLAND,,,,,,,,,
1797,EPSOM DERBY,EPSOM,2420,Colt By Fidget,Matt Stephenson,John Singleton Jnr,ENGLAND,,,,,,,,,
1797,EPSOM OAKS,EPSOM,2420,Nike,John Pratt,Frank Buckle,ENGLAND,,,,,,,,,
1797,ST LEGER,DONCASTER,2921,Lounger,George Searle,John Shepherd,ENGLAND,,,,,,,,,
1798,EPSOM DERBY,EPSOM,2420,Sir Harry,Frank Neale,Sam Arnull,ENGLAND,,,,,,,,,
1798,EPSOM OAKS,EPSOM,2420,Bellissima,Richard Prince,Frank Buckle,ENGLAND,,,,,,,,,
1798,ST LEGER,DONCASTER,2921,Symmetry,Sam King,John Jackson,ENGLAND,,,,,,,,,
1799,EPSOM DERBY,EPSOM,2420,Archduke,Richard Prince,John Arnull,ENGLAND,,,,,,,,,
1799,EPSOM OAKS,EPSOM,2420,Bellina,John Pratt,Frank Buckle,ENGLAND,,,,,,,,,
1799,ST LEGER,DONCASTER,2921,Cockfighter,Tom Fields,Tom Fields,ENGLAND,,,,,,,,,
1800,EPSOM DERBY,EPSOM,2420,Champion,Tom Perren,Bill Clift,ENGLAND,,,,,,,,,
1800,EPSOM OAKS,EPSOM,2420,Ephemera,Frank Neale,Dennis Fitzpatrick,ENGLAND,,,,,,,,,
1800,ST LEGER,DONCASTER,2921,Champion,Tom Perren,Frank Buckle,ENGLAND,,,,,,,,,
1801,EPSOM DERBY,EPSOM,2420,Eleanor,J Frost,John Saunders,ENGLAND,,,,,,,,,
1801,EPSOM OAKS,EPSOM,2420,Eleanor,J Frost,John Saunders,ENGLAND,,,,,,,,,
1801,ST LEGER,DONCASTER,2921,Quiz,George Searle,John Shepherd,ENGLAND,,,,,,,,,
1802,EPSOM DERBY,EPSOM,2420,Tyrant,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1802,EPSOM OAKS,EPSOM,2420,Scotia,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1802,ST LEGER,DONCASTER,2921,Orville,Christopher Scaife,John Singleton Jnr,ENGLAND,,,,,,,,,
1803,EPSOM DERBY,EPSOM,2420,Ditto,John Lonsdale,Bill Clift,ENGLAND,,,,,,,,,
1803,EPSOM OAKS,EPSOM,2420,Theophania,Sam King,Frank Buckle,ENGLAND,,,,,,,,,
1803,ST LEGER,DONCASTER,2921,Remembrancer,J. Smith,Ben Smith,ENGLAND,,,,,,,,,
1804,EPSOM DERBY,EPSOM,2420,Hannibal,Frank Neale,Bill Arnull,ENGLAND,,,,,,,,,
1804,EPSOM OAKS,EPSOM,2420,Pelisse,Robert Robson,Bill Clift,ENGLAND,,,,,,,,,
1804,ST LEGER,DONCASTER,2921,Sancho,Bartle Atkinson,Frank Buckle,ENGLAND,,,,,,,,,
1805,EPSOM DERBY,EPSOM,2420,Cardinal Beaufort,Dixon Boyce,Dennis Fitzpatrick,ENGLAND,,,,,,,,,
1805,EPSOM OAKS,EPSOM,2420,Meteora,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1805,ST LEGER,DONCASTER,2921,Staveley,Bartle Atkinson,John Jackson,ENGLAND,,,,,,,,,
1806,EPSOM DERBY,EPSOM,2420,Paris,Richard Prince,John Shepherd,ENGLAND,,,,,,,,,
1806,EPSOM OAKS,EPSOM,2420,Bronze,Dixon Boyce,William Edwards,ENGLAND,,,,,,,,,
1806,ST LEGER,DONCASTER,2921,Fyldener,,Tom Carr,ENGLAND,,,,,,,,,
1807,EPSOM DERBY,EPSOM,2420,Election,Dixon Boyce,John Arnull,ENGLAND,,,,,,,,,
1807,EPSOM OAKS,EPSOM,2420,Briseis (UK),Robert Robson,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1807,ST LEGER,DONCASTER,2921,Paulina,Christopher Scaife,Bill Clift,ENGLAND,,,,,,,,,
1808,EPSOM DERBY,EPSOM,2420,Pan,John Lonsdale,Frank Collinson,ENGLAND,,,,,,,,,
1808,EPSOM OAKS,EPSOM,2420,Morel,Robert Robson,Bill Clift,ENGLAND,,,,,,,,,
1808,ST LEGER,DONCASTER,2921,Petronius,William Theakston,Ben Smith,ENGLAND,,,,,,,,,
1809,EPSOM DERBY,EPSOM,2420,Pope,Robert Robson,Tom Goodisson,ENGLAND,,,,,,,,,
1809,EPSOM OAKS,EPSOM,2420,Maid of Orleans,Robert Robson,Ben Moss,ENGLAND,,,,,,,,,
1809,ST LEGER,DONCASTER,2921,Ashton,William Theakston,Ben Smith,ENGLAND,,,,,,,,,
1809,UK 2000 GUINEAS,NEWMARKET,1600,Wizard,Tom Perren,Bill Clift,ENGLAND,,,,,,,,,
1810,EPSOM DERBY,EPSOM,2420,Whalebone,Robert Robson,Bill Clift,ENGLAND,,,,,,,,,
1810,EPSOM OAKS,EPSOM,2420,Oriana,Bill Peirse,Bill Peirse,ENGLAND,,,,,,,,,
1810,ST LEGER,DONCASTER,2921,Octavian,Frank Jordan,Bill Clift,ENGLAND,,,,,,,,,
1810,UK 2000 GUINEAS,NEWMARKET,1600,Hephestion,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1811,EPSOM DERBY,EPSOM,2420,Phantom,James Edwards,Frank Buckle,ENGLAND,,,,,,,,,
1811,EPSOM OAKS,EPSOM,2420,Sorcery,Dixon Boyce,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1811,ST LEGER,DONCASTER,2921,Soothsayer,Tommy Sykes,Ben Smith,ENGLAND,,,,,,,,,
1811,UK 2000 GUINEAS,NEWMARKET,1600,Trophonius,Dixon Boyce,Sam Barnard,ENGLAND,,,,,,,,,
1812,EPSOM DERBY,EPSOM,2420,Octavius,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1812,EPSOM OAKS,EPSOM,2420,Manuella,Bill Peirse,Bill Peirse,ENGLAND,,,,,,,,,
1812,ST LEGER,DONCASTER,2921,Otterington,W. Hessletine,Bob Johnson,ENGLAND,,,,,,,,,
1812,UK 2000 GUINEAS,NEWMARKET,1600,Cwrw,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1813,EPSOM DERBY,EPSOM,2420,Smolensko,Crouch,Tom Goodisson,ENGLAND,,,,,,,,,
1813,EPSOM OAKS,EPSOM,2420,Music,Robert Robson,Tom Goodisson,ENGLAND,,,,,,,,,
1813,ST LEGER,DONCASTER,2921,Altisidora,Tommy Sykes,John Jackson,ENGLAND,,,,,,,,,
1813,UK 2000 GUINEAS,NEWMARKET,1600,Smolensko,Crouch,Henry Miller,ENGLAND,,,,,,,,,
1814,EPSOM DERBY,EPSOM,2420,Blucher,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1814,EPSOM OAKS,EPSOM,2420,Medora,Dixon Boyce,Sam Barnard,ENGLAND,,,,,,,,,
1814,ST LEGER,DONCASTER,2921,William,William Theakston,John Shepherd,ENGLAND,,,,,,,,,
1814,UK 1000 GUINEAS,NEWMARKET,1600,Charlotte,Tom Perren,Bill Clift,ENGLAND,,,,,,,,,
1814,UK 2000 GUINEAS,NEWMARKET,1600,Olive,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1815,EPSOM DERBY,EPSOM,2420,Whisker,Robert Robson,Tom Goodisson,ENGLAND,,,,,,,,,
1815,EPSOM OAKS,EPSOM,2420,Minuet,Robert Robson,Tom Goodisson,ENGLAND,,,,,,,,,
1815,ST LEGER,DONCASTER,2921,Filho da Puta,James Croft,John Jackson,ENGLAND,,,,,,,,,
1815,UK 1000 GUINEAS,NEWMARKET,1600,Filly by Selim,Richard Prince,Bill Clift,ENGLAND,,,,,,,,,
1815,UK 2000 GUINEAS,NEWMARKET,1600,Tigris,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1816,EPSOM DERBY,EPSOM,2420,Prince Leopold,William Butler,Will Wheatley,ENGLAND,,,,,,,,,
1816,EPSOM OAKS,EPSOM,2420,Landscape,Robert Robson,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1816,ST LEGER,DONCASTER,2921,The Duchess,James Croft,Ben Smith,ENGLAND,,,,,,,,,
