Player,Team
Charlie Nicholls,Fremantle
Chris Scerri,Fremantle
Cooper Simpson,Fremantle
Corey Wagner,Fremantle
Hayden Young,Fremantle
Heath Chapman,Fremantle
Hugh Davies,Fremantle
Isaiah Dudley,Fremantle
Jaeger O'Meara,Fremantle
Jaren Carr,Fremantle
Jeremy Sharp,Fremantle
Jordan Clark,Fremantle
Josh Treacy,Fremantle
Joshua Draper,Fremantle
Judd McVee,Fremantle
Jye Amiss,Fremantle
Karl Worner,Fremantle
Leon Kickett,Fremantle
Luke Jackson,Fremantle
Luke Ryan,Fremantle
Mason Cox,Fremantle
Matthew Johnson,Fremantle
Michael Frederick,Fremantle
Murphy Reid,Fremantle
Nathan O'Driscoll,Fremantle
Neil Erasmus,Fremantle
Ollie Murphy,Fremantle
Oscar McDonald,Fremantle
Patrick Voss,Fremantle
Ryda Luke,Fremantle
Sam Sturt,Fremantle
Sam Switkowski,Fremantle
Sean Darcy,Fremantle
Shai Bolton,Fremantle
Toby Whan,Fremantle
Tobyn Murray,Fremantle
Bailey Smith,Geelong
Brad Close,Geelong
Cillian Burke,Geelong
Connor O'Sullivan,Geelong
George Stevens,Geelong
Gryan Miers,Geelong
Harley Barker,Geelong
Hunter Holmes,Geelong
Jack Bowes,Geelong
Jack Henry,Geelong
Jack Martin,Geelong
Jacob Molier,Geelong
Jake Kolodjashnij,Geelong
James Worpel,Geelong
Jay Polkinghorne,Geelong
Jed Bews,Geelong
Jeremy Cameron,Geelong
Jesse Mellor,Geelong
Jhye Clark,Geelong
Joe Pike,Geelong
Keighton Matofai-Forbes,Geelong
Lawson Humphries,Geelong
Lennox Hofmann,Geelong
Mark Blicavs,Geelong
Mark O'Connor,Geelong
Max Holmes,Geelong
Mitch Knevitt,Geelong
Mitchell Edwards,Geelong
Nicholas Driscoll,Geelong
Oisin Mullin,Geelong
Oliver Dempsey,Geelong
Oliver Henry,Geelong
Oliver Wiltshire,Geelong
Patrick Dangerfield,Geelong
Rhys Stanley,Geelong
Sam De Koning,Geelong
Shannon Neale,Geelong
Shaun Mannagh,Geelong
Tanner Bruhn,Geelong
Toby Conway,Geelong
Tom Atkins,Geelong
Tom Stewart,Geelong
Tyson Stengle,Geelong
Zach Guthrie,Geelong
Alex Davies,Gold Coast
Asher Eastham,Gold Coast
Avery Thomas,Gold Coast
Bailey Humphrey,Gold Coast
Beau Addinsall,Gold Coast
Ben Jepson,Gold Coast
Ben King,Gold Coast
Ben Long,Gold Coast
Bodhi Uwland,Gold Coast
Caleb Graham,Gold Coast
Caleb Lewis,Gold Coast
Charlie Ballard,Gold Coast
Christian Petracca,Gold Coast
Cooper Bell,Gold Coast
Daniel Rioli,Gold Coast
Dylan Patterson,Gold Coast
Elliott Himmelberg,Gold Coast
Ethan Read,Gold Coast
Jai Murray,Gold Coast
Jake Rogers,Gold Coast
Jamarra Ugle-Hagan,Gold Coast
Jarrod Witts,Gold Coast
Jed Walter,Gold Coast
Joel Jeffrey,Gold Coast
John Noble,Gold Coast
Jy Farrar,Gold Coast
Koby Coulson,Gold Coast
Lachie Weller,Gold Coast
Lachlan Gulbin,Gold Coast
Leonardo Lombard,Gold Coast
Mac Andrew,Gold Coast
Matt Rowell,Gold Coast
Max Knobel,Gold Coast
Ned Moyle,Gold Coast
Nick Holman,Gold Coast
Noah Anderson,Gold Coast
Oscar Adams,Gold Coast
Sam Clohesy,Gold Coast
Sam Collins,Gold Coast
Touk Miller,Gold Coast
Wil Powell,Gold Coast
Will Graham,Gold Coast
Zak Evans,Gold Coast
Zeke Uwland,Gold Coast
Aaron Cadman,Greater Western Sydney
Brent Daniels,Greater Western Sydney
Callum Brown,Greater Western Sydney
Clayton Oliver,Greater Western Sydney
Cody Angove,Greater Western Sydney
Connor Idun,Greater Western Sydney
Conor Stone,Greater Western Sydney
Darcy Jones,Greater Western Sydney
Finn Callaghan,Greater Western Sydney
Finnegan Davis,Greater Western Sydney
Harrison Oliver,Greater Western Sydney
Harry Himmelberg,Greater Western Sydney
Harry Rowston,Greater Western Sydney
Harvey Thomas,Greater Western Sydney
Jack Buckley,Greater Western Sydney
Jack Ough,Greater Western Sydney
Jake Riccardi,Greater Western Sydney
Jake Stringer,Greater Western Sydney
James Leake,Greater Western Sydney
Jayden Laverde,Greater Western Sydney
Jesse Hogan,Greater Western Sydney
Joe Fonti,Greater Western Sydney
Josaia Delana,Greater Western Sydney
Josh Kelly,Greater Western Sydney
