Year,Round,Player,Team
1995,13,Stuart Anderson,North Melbourne
1995,12,Ryan O'Connor,Essendon
1995,11,Matthew Capuano,North Melbourne
1995,10,Shaun McManus,Fremantle
1995,9,Austinn Jones,St Kilda
1995,8,Michael O'Loughlin,Sydney
1995,7,Brad Johnson,Western Bulldogs
1995,6,Steven Lawrence,Brisbane Bears
1995,5,David Bourke,Richmond
1995,4,Nick Holland,Hawthorn
1995,3,Martin McKinnon,Adelaide
1995,2,Scott Camporeale,Carlton
1995,1,Tyson Lane,Western Bulldogs
1994,24,Duncan Kellaway,Richmond
1994,23,Sean Wellman,Adelaide
1994,22,Jon Hassall,Collingwood
1994,21,Chris Johnson,Fitzroy
1994,20,Rayden Tallis,Hawthorn
1994,19,Scott Cummings,Essendon
1994,18,Troy Bond,Carlton
1994,17,Matthew Kluzek,Adelaide
1994,16,Daniel Southern,Western Bulldogs
1994,15,Jamie Tape,Richmond
1994,14,Matthew Clarke,Brisbane Bears
1994,13,Simon Hawking,Fitzroy
1994,12,Shane Wakelin,St Kilda
1994,11,Matthew Rogers,Richmond
1994,10,Mark Graham,Hawthorn
1994,9,Drew Banfield,West Coast
1994,8,Kent Butcher,Collingwood
1994,7,Chris Scott,Brisbane Bears
1994,6,James Cook,Carlton
1994,5,Jarrod Molloy,Fitzroy
1994,4,Brett Spinks,West Coast
1994,3,John Barker,Fitzroy
1994,2,Corey McKernan,North Melbourne
1994,1,Che Cockatoo-Collins,Essendon
1993,22,Leigh Colbert,Geelong
1993,21,Brad Nicholson,Western Bulldogs
1993,20,Mark Mercuri,Essendon
1993,19,Ricky Olarenshaw,Essendon
1993,18,Ang Christou,Carlton
1993,17,Ilija Grgic,Western Bulldogs
1993,16,Mark Ricciuto,Adelaide
1993,15,Duncan Kellaway,Richmond
1993,14,Darren Kowal,Melbourne
1993,13,Saverio Rocca,Collingwood
1993,12,Glenn Archer,North Melbourne
1993,11,Brodie Atkinson,St Kilda
1993,10,Matthew Richardson,Richmond
1993,9,Dustin Fletcher,Essendon
1993,8,James Hird,Essendon
1993,7,Nathan Buckley,Brisbane Bears
1993,6,David Neitz,Melbourne
1993,5,Scott West,Western Bulldogs
1993,4,Joe Misiti,Essendon
1993,3,Nathan Chapman,Brisbane Bears
1993,2,Shane Crawford,Hawthorn
1993,1,Peter Everitt,St Kilda
